opaque_id,model,model_id,condition,threshold,split,combined_i,source_file,source_i,request_id,provider,parser_status,parser_estimate
e_184b977adfb3e9c46dfe,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,20,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,10,gen-1788062405-LS79rkjNRzn2Tw64fgse,SiliconFlow,clear,27000000
e_773267a4357880e7cbef,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,21,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,11,gen-1788062256-sQ4uYRyRjcdxsnxa29Mp,DeepInfra,clear,42700000
e_3be68ff655651b6adaf8,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,22,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,12,gen-1788061946-hpfiNhfluJ7S0Or6bXBg,SiliconFlow,clear,31000000
e_580350d4a604bfde0d5d,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,23,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,13,gen-1788062525-Z1AZlaHSgwV1nFwM77vM,DeepInfra,clear,35000000
e_8c4e4d00ecc97f14b87e,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,24,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,14,gen-1788062299-yBtz81CjMQn1yQzI1fUZ,SiliconFlow,ambiguous,
e_81eaf74fe758c809cb86,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,25,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,15,gen-1788062345-1L7tEUBjbClXzEOmNFve,SiliconFlow,clear,180000000
e_8aa622787931a549f2c9,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,26,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,16,gen-1788062213-J4qQcCnsWDAkhGa2UPok,SiliconFlow,clear,44000000
e_98508c97c7fc62569763,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,27,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,17,gen-1788062124-w7Yh6J9ZQ1X1eCMhNzzn,DeepInfra,ambiguous,
e_86725ccc2187596fd4f6,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,28,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,18,gen-1788062356-GOQVj3RdpRbaSRneTPDS,DeepInfra,clear,100000000
e_87f454580bee7b9c9df2,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,29,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,19,gen-1788062293-aCYNEC4oGOjtd2zRLmdZ,SiliconFlow,clear,39500000
e_f16b82818238a3070419,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,30,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,20,gen-1788062325-6pkotFBnbsC7IcOAT0HN,SiliconFlow,clear,38000000
e_88baa3fbaa450b1bf4ca,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,31,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,21,gen-1788061946-gXYSFmy8oxr3125fT238,Novita,clear,39250000
e_3fb2913b8ca02e2ad1c5,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,32,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,22,gen-1788062438-s51bwnhZAXS9k0f7fFdF,SiliconFlow,clear,38500000
e_9f948621dcdaaef9e020,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,33,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,23,gen-1788062177-rFv0M94yjKLZSa2LQLrg,DeepInfra,clear,35000000
e_9c22cc2e05cda21b5b82,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,34,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,24,gen-1788062228-iEAyYAMzyZGR8SHkJ7Ov,DeepInfra,clear,39000000
e_030799503028e8155b75,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,35,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,25,gen-1788062180-N5OStxUtyJZMVB6DmtRL,Novita,clear,48500000
e_d3bc8507e49653c5b2a1,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,36,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,26,gen-1788062473-B68oYMtX79wUFq1o7Nq6,DeepInfra,clear,35100000
e_5289480d476bd8479959,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,37,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,27,gen-1788061946-epWvVdkdyOVhtQQoo343,Novita,clear,52000000
e_e49c7409b6375a2904e5,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,38,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,28,gen-1788062191-XPhcvo4t1d7NdT1ZUrrj,DeepInfra,clear,62000000
e_9d38850e1f5fd4269053,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,39,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,29,gen-1788062537-fGY1yOhoLsuAvtC4njcp,SiliconFlow,clear,37000000
e_22a583af3d983b2699a9,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,40,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,30,gen-1788062012-pnrc9g5qOKoiveSYBCEy,DeepInfra,clear,60000000
e_e084a436b7e8467266be,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,41,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,31,gen-1788062206-yPBVwhqONimKhffDlSrz,Novita,clear,55000000
e_92f6be538c829e07e4a2,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,42,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,32,gen-1788061946-8cPCHG4mu9fLrAko77au,DeepInfra,clear,100000000
e_8bd8d09aef7e201601e0,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,43,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,33,gen-1788062137-vvoXNUCKbzqhWH4zg8dD,DeepInfra,clear,31000000
e_033bdb1d4bce1b12dc51,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,44,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,34,gen-1788062115-2jesZ6P7oqf6bFgeb4FF,Novita,clear,35500000
e_54a14cb1d70e6173fff4,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,45,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,35,gen-1788061946-8gAVw99M8VpDVIKNUXLi,Novita,clear,33558000
e_9325bbaf48c9286563d0,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,46,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,36,gen-1788062506-OnsDV7sIg1vgvtdKAo8G,SiliconFlow,clear,68000000
e_475bb37ae02c8d8e44db,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,47,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,37,gen-1788062087-w2fdyqekqcwrAlEaF481,DeepInfra,clear,49500000
e_0e7b3b38e081296ef97c,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,48,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,38,gen-1788061946-uVzQPebS1IiNVfHaMcNV,DeepInfra,clear,41500000
e_a3064dbf30dd845b8199,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,49,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,39,gen-1788062427-E1d28AprvKjgp8DW7NvL,SiliconFlow,clear,36000000
p_860d776b1b674cbae120,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,pilot,0,runs/moral_pilot_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,0,gen-1788060233-kT9TB012jhl1UF7OJGEJ,SiliconFlow,ambiguous,
p_10cd5e5398d2e8cf6a99,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,pilot,1,runs/moral_pilot_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,1,gen-1788060174-aac3J64UnZmP7XbQlcmG,SiliconFlow,clear,38000000
p_d97efa3a9b91ac16b863,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,pilot,2,runs/moral_pilot_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,2,gen-1788060186-nx06DNQk5qBOepHPR7OR,DeepInfra,clear,40000000
p_793fd123269e91f45aea,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,pilot,3,runs/moral_pilot_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,3,gen-1788060236-Q3B0oQ381QriensvOd6f,SiliconFlow,clear,38000000
p_7de87fb62711e363d20a,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,pilot,4,runs/moral_pilot_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,4,gen-1788060169-sKwyOZmkUvaxvVviYeYD,SiliconFlow,clear,37000000
p_ad5ead249c28005e5aae,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,pilot,5,runs/moral_pilot_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,5,gen-1788060104-rxblF0iB798ploBGqAZP,Novita,clear,32000000
p_bfd958f5781acbc68023,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,pilot,6,runs/moral_pilot_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,6,gen-1788060192-M32dANdXhRyZlirfJNb1,Novita,clear,38500000
p_790ebcb2aadd70cd402a,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,pilot,7,runs/moral_pilot_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,7,gen-1788060104-DAU3WQFfNGqg6cqryXga,DeepInfra,clear,40000000
p_616b94bc0284cb8dc8eb,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,pilot,8,runs/moral_pilot_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,8,gen-1788060104-yG5Sjn22Qeps522gWtIS,Novita,ambiguous,
p_7464f2153e08f0c7705c,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,pilot,9,runs/moral_pilot_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,9,gen-1788060238-UVWBYIZJQsIhtaPtzWjY,Novita,clear,36500000
e_bcf189b8bf9ae4823db9,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,extension,10,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,0,gen-1788062481-yvi8QxUnPLYXBFZIxasM,DeepInfra,clear,38000000
e_aa940b015aa318bcdc33,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,extension,11,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,1,gen-1788062457-9cTOdfJT3uotDc7oluyI,SiliconFlow,clear,40500000
e_5a74157f72e1a6efed1f,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,extension,12,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,2,gen-1788062413-kH8bGpr2WBXkGFmlIH03,DeepInfra,clear,35000000
e_b3f024e55fa115b2e1e3,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,extension,13,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,3,gen-1788062048-2BSchmw070uABU33FjOJ,Novita,clear,39000000
e_916e55fbb07dea7896fc,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,extension,14,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,4,gen-1788062119-lzusAx5GF83YYJkOz9mx,SiliconFlow,clear,23000000
e_bd9b7115f2cb50b58b70,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,extension,15,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,5,gen-1788062044-WGMhXEeNUjMXsINIcHgH,DeepInfra,clear,20500000
e_c8e0902e089a6df0644c,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,extension,16,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,6,gen-1788062176-YcSL2JC2554EpqyzfwEl,SiliconFlow,clear,32000000
e_db1ea231dc93af38e029,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,extension,17,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,7,gen-1788062027-sQyj7CS1UIfly1AMmdpj,SiliconFlow,clear,29000000
e_9d4ecae9b5be23e7c9c3,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,extension,18,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,8,gen-1788062411-KWBKVXaTl5dKbBsMbK6S,DeepInfra,clear,38500000
e_74491c8fa2bb4b003df2,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,extension,19,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,9,gen-1788062150-efhpfpUOdB4p9Xf5ZNNe,Novita,clear,40000000
e_39f406def1cbbf24bfd0,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,extension,20,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,10,gen-1788062206-nVgsotecF1ytfH8NjoSE,DeepInfra,clear,444600000
e_ed8c5e9cf1a5984dcd8c,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,extension,21,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,11,gen-1788062383-DzUsK1yIsnuySyw7fQRI,DeepInfra,clear,39800000
e_85f95b86c3ee36645615,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,extension,22,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,12,gen-1788062013-L87w0tDtWkTGGj9pnjux,SiliconFlow,clear,44000000
e_83096ae80af7ed964902,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,extension,23,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,13,gen-1788062239-gJYj7WiMYHviqb2bxKiq,Novita,clear,45000000
e_047d7c826da7b99b86cf,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,extension,24,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,14,gen-1788061946-x3VnI4r33tQQqPFz9WVs,Novita,clear,38000000
e_c0b91cc0d8029db50f38,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,extension,25,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,15,gen-1788061946-4EB7Eb7mzdmCw0jtr3ki,DeepInfra,clear,105000000
e_cffb731ab697248e5fd7,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,extension,26,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,16,gen-1788062062-d0u125KCIMhyYHarRtq8,DeepInfra,clear,45000000
e_c234195688bd4032e1ca,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,extension,27,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,17,gen-1788061946-r8VmA40n2GAoeXhVX00Y,SiliconFlow,clear,39200000
e_ce662e251fd5ba86fdf7,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,extension,28,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,18,gen-1788062067-y7qDd5szYSBNTPOqt8ZW,DeepInfra,clear,35000000
e_3057d97b7bdad21ab3fe,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,extension,29,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,19,gen-1788062531-wjK0Ler6h0D3y3eLJNN5,DeepInfra,clear,40000000
e_14e380345805d20b0381,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,extension,30,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,20,gen-1788062166-DAVj1alpl4pfUSTAd1No,Novita,clear,39500000
e_e8655ba30b5854394332,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,extension,31,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,21,gen-1788062402-YKV5vXGeIVe7Z0735PJn,SiliconFlow,clear,30000000
e_9520205c0f3e7926098d,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,extension,32,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,22,gen-1788062459-gCqWfqVhsFKNahCTIC64,Novita,clear,75000000
e_06b49b9fd205a62483d3,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,extension,33,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,23,gen-1788062156-vptppTMBnpuJtke478uG,SiliconFlow,clear,70000000
e_c590b442e8241385b6ae,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,extension,34,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,24,gen-1788062452-g6oNucOI5tUKnglDEe3y,SiliconFlow,clear,30000000
e_d19ea1052eae8e7aba6a,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,extension,35,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,25,gen-1788062291-BMdijGSHog7vREv1BPGu,Novita,ambiguous,
e_dcd18be960fa84fda329,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,extension,36,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,26,gen-1788062459-yjyloWbhPfAnmWYjDvLM,DeepInfra,clear,45000000
e_fe01743f786d86c111c9,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,extension,37,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,27,gen-1788062341-xljITsAmZ4y68LnF50r9,SiliconFlow,clear,42000000
e_dfacedc3afcffa1a7acd,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,extension,38,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,28,gen-1788062404-yOIdLgj5M3vwWqFyM9h3,SiliconFlow,clear,38000000
e_d59034320ab034971ceb,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,extension,39,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,29,gen-1788062520-LMogezp66faWDrd7vwmN,DeepInfra,clear,39900000
e_688ece27c3dc867b9ac4,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,extension,40,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,30,gen-1788062275-aRyxkOfwWkgXPhc9FSwJ,SiliconFlow,clear,38000000
e_32bfcb7198851a2004d7,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,extension,41,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,31,gen-1788062362-27DSUHrnXsU61V7hlkGt,DeepInfra,clear,38500000
e_35ec81779d99fc1e0c68,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,extension,42,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,32,gen-1788062117-assndaPwRBwIUbOk8x1O,SiliconFlow,clear,30000000
e_2c476cb5b6c7f149437f,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,extension,43,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,33,gen-1788062264-C4Lt05jV5AKuQzUfBBsC,SiliconFlow,clear,34500000
e_cc72fcd603b9cf3ff49d,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,below_good,41000000,extension,44,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/below_good_41000000.json,34,gen-1788062504-xgKQbGFTeWKGytDu9h8X,Novita,clear,66000000
