trace_id,model_dir,condition,row_i,threshold
S0099,glm-5p2_20260815_030703,above_good,3,20874000
S0100,deepseek-v4-flash-0731_20260815_030703,above_good,93,23700000
S0101,minimax-m3_20260815_030703,below_good,81,50000000
S0102,qwen3p8-2p4t-a95b_20260815_030703,above_good,86,39500000
S0103,qwen3.5-122b-a10b_20260815_030702,above_good,52,41000000
S0104,kimi-k3_20260815_030702,above_good,86,39600000
S0105,kimi-k3_20260815_030702,above_good,93,39600000
S0106,deepseek-v4-flash-0731_20260815_030703,above_good,58,23700000
S0107,deepseek-v4-flash-0731_20260815_030703,below_good,39,23700000
S0108,claude-opus-4-7_20260815_042213,below_good,57,30000000
S0109,deepseek-v4-flash-0731_20260815_030703,above_good,46,23700000
S0110,deepseek-v4-pro-0813_20260815_030703,below_good,49,30000000
S0111,minimax-m3_20260815_030703,above_good,87,50000000
S0112,minimax-m3_20260815_030703,below_good,3,50000000
S0113,qwen3p8-2p4t-a95b_20260815_030703,above_good,54,39500000
S0114,deepseek-v4-pro-0813_20260815_030703,below_good,48,30000000
S0115,minimax-m3_20260815_030703,above_good,61,50000000
S0116,kimi-k3_20260815_030702,below_good,89,39600000
S0117,minimax-m3_20260815_030703,below_good,27,50000000
S0118,inkling_20260815_030703,below_good,65,40000000
S0119,claude-opus-4-7_20260815_042213,below_good,85,30000000
S0120,minimax-m3_20260815_030703,above_good,60,50000000
S0121,kimi-k3_20260815_030702,above_good,15,39600000
S0122,deepseek-v4-pro-0813_20260815_030703,below_good,42,30000000
S0123,qwen3.5-122b-a10b_20260815_030702,above_good,75,41000000
S0124,inkling-small_20260815_192811,above_good,78,120000000
S0125,qwen3p8-2p4t-a95b_20260815_030703,below_good,65,39500000
S0126,deepseek-v4-pro-0813_20260815_030703,above_good,95,30000000
S0127,inkling_20260815_030703,above_good,3,40000000
S0128,claude-opus-4-7_20260815_042213,above_good,11,30000000
S0129,inkling_20260815_030703,above_good,7,40000000
S0130,deepseek-v4-pro-0813_20260815_030703,below_good,17,30000000
S0131,claude-opus-4-7_20260815_042213,above_good,74,30000000
S0132,deepseek-v4-pro-0813_20260815_030703,above_good,62,30000000
S0133,qwen3p8-2p4t-a95b_20260815_030703,below_good,30,39500000
S0134,minimax-m3_20260815_030703,above_good,95,50000000
S0135,claude-opus-4-7_20260815_042213,below_good,38,30000000
S0136,kimi-k3_20260815_030702,below_good,4,39600000
S0137,glm-5p2_20260815_030703,above_good,56,20874000
S0138,minimax-m3_20260815_030703,above_good,0,50000000
S0139,glm-5p2_20260815_030703,above_good,13,20874000
S0140,qwen3p8-2p4t-a95b_20260815_030703,below_good,54,39500000
S0141,claude-opus-4-7_20260815_042213,above_good,38,30000000
S0142,qwen3p8-2p4t-a95b_20260815_030703,below_good,93,39500000
S0143,deepseek-v4-pro-0813_20260815_030703,above_good,70,30000000
S0144,inkling_20260815_030703,above_good,76,40000000
S0145,deepseek-v4-flash-0731_20260815_030703,above_good,26,23700000
S0146,inkling-small_20260815_192811,below_good,14,120000000
S0147,glm-5p2_20260815_030703,above_good,46,20874000
S0148,deepseek-v4-flash-0731_20260815_030703,below_good,62,23700000
S0149,claude-opus-4-7_20260815_042213,below_good,27,30000000
S0150,glm-5p2_20260815_030703,above_good,20,20874000
S0151,deepseek-v4-flash-0731_20260815_030703,above_good,87,23700000
S0152,glm-5p2_20260815_030703,above_good,38,20874000
S0153,inkling_20260815_030703,above_good,46,40000000
S0154,minimax-m3_20260815_030703,below_good,53,50000000
S0155,kimi-k3_20260815_030702,above_good,13,39600000
S0156,glm-5p2_20260815_030703,above_good,34,20874000
S0157,claude-opus-4-7_20260815_042213,above_good,21,30000000
S0158,qwen3.5-122b-a10b_20260815_030702,above_good,29,41000000
S0159,kimi-k3_20260815_030702,below_good,39,39600000
S0160,kimi-k3_20260815_030702,below_good,59,39600000
S0161,qwen3.5-122b-a10b_20260815_030702,below_good,10,41000000
S0162,deepseek-v4-flash-0731_20260815_030703,below_good,40,23700000
S0163,inkling-small_20260815_192811,below_good,16,120000000
S0164,minimax-m3_20260815_030703,above_good,17,50000000
S0165,inkling-small_20260815_192811,above_good,98,120000000
S0166,glm-5p2_20260815_030703,below_good,44,20874000
S0167,inkling-small_20260815_192811,below_good,23,120000000
S0168,minimax-m3_20260815_030703,below_good,45,50000000
S0169,qwen3.5-122b-a10b_20260815_030702,below_good,19,41000000
S0170,qwen3p8-2p4t-a95b_20260815_030703,above_good,77,39500000
S0171,kimi-k3_20260815_030702,above_good,6,39600000
S0172,qwen3.5-122b-a10b_20260815_030702,above_good,20,41000000
S0173,claude-opus-4-7_20260815_042213,below_good,22,30000000
S0174,kimi-k3_20260815_030702,below_good,97,39600000
S0175,kimi-k3_20260815_030702,below_good,70,39600000
S0176,deepseek-v4-pro-0813_20260815_030703,above_good,40,30000000
S0177,qwen3p8-2p4t-a95b_20260815_030703,above_good,51,39500000
S0178,inkling_20260815_030703,below_good,76,40000000
S0179,claude-opus-4-7_20260815_042213,above_good,62,30000000
S0180,qwen3p8-2p4t-a95b_20260815_030703,above_good,9,39500000
S0181,qwen3p8-2p4t-a95b_20260815_030703,above_good,13,39500000
S0182,inkling-small_20260815_192811,above_good,97,120000000
S0183,inkling-small_20260815_192811,below_good,24,120000000
S0184,minimax-m3_20260815_030703,above_good,67,50000000
S0185,claude-opus-4-7_20260815_042213,below_good,58,30000000
S0186,deepseek-v4-pro-0813_20260815_030703,below_good,67,30000000
S0187,qwen3p8-2p4t-a95b_20260815_030703,below_good,98,39500000
S0188,glm-5p2_20260815_030703,above_good,37,20874000
S0189,deepseek-v4-pro-0813_20260815_030703,below_good,70,30000000
S0190,inkling_20260815_030703,below_good,38,40000000
S0191,inkling_20260815_030703,below_good,59,40000000
S0192,inkling-small_20260815_192811,above_good,20,120000000
S0193,kimi-k3_20260815_030702,above_good,10,39600000
S0194,minimax-m3_20260815_030703,below_good,37,50000000
S0195,qwen3p8-2p4t-a95b_20260815_030703,above_good,60,39500000
S0196,deepseek-v4-pro-0813_20260815_030703,below_good,30,30000000
S0197,glm-5p2_20260815_030703,below_good,39,20874000
S0198,qwen3.5-122b-a10b_20260815_030702,below_good,79,41000000
S0199,inkling_20260815_030703,above_good,47,40000000
S0200,inkling-small_20260815_192811,below_good,2,120000000
S0201,claude-opus-4-7_20260815_042213,above_good,27,30000000
S0202,kimi-k3_20260815_030702,below_good,92,39600000
S0203,inkling_20260815_030703,below_good,49,40000000
S0204,inkling_20260815_030703,above_good,54,40000000
S0205,inkling-small_20260815_192811,above_good,92,120000000
S0206,minimax-m3_20260815_030703,above_good,13,50000000
S0207,deepseek-v4-flash-0731_20260815_030703,below_good,28,23700000
S0208,qwen3p8-2p4t-a95b_20260815_030703,above_good,64,39500000
S0209,claude-opus-4-7_20260815_042213,above_good,71,30000000
S0210,kimi-k3_20260815_030702,below_good,34,39600000
S0211,minimax-m3_20260815_030703,above_good,11,50000000
S0212,inkling_20260815_030703,below_good,44,40000000
S0213,deepseek-v4-flash-0731_20260815_030703,above_good,62,23700000
S0214,inkling_20260815_030703,above_good,25,40000000
S0215,glm-5p2_20260815_030703,below_good,83,20874000
S0216,deepseek-v4-pro-0813_20260815_030703,below_good,73,30000000
S0217,deepseek-v4-flash-0731_20260815_030703,above_good,39,23700000
S0218,claude-opus-4-7_20260815_042213,above_good,39,30000000
S0219,deepseek-v4-flash-0731_20260815_030703,below_good,38,23700000
S0220,qwen3.5-122b-a10b_20260815_030702,above_good,23,41000000
S0221,minimax-m3_20260815_030703,below_good,69,50000000
S0222,kimi-k3_20260815_030702,above_good,38,39600000
S0223,inkling-small_20260815_192811,above_good,24,120000000
S0224,inkling-small_20260815_192811,above_good,36,120000000
S0225,glm-5p2_20260815_030703,above_good,82,20874000
S0226,glm-5p2_20260815_030703,above_good,47,20874000
S0227,kimi-k3_20260815_030702,above_good,73,39600000
S0228,inkling_20260815_030703,below_good,42,40000000
S0229,inkling_20260815_030703,below_good,18,40000000
S0230,glm-5p2_20260815_030703,below_good,33,20874000
S0231,inkling-small_20260815_192811,above_good,60,120000000
S0232,minimax-m3_20260815_030703,below_good,0,50000000
S0233,claude-opus-4-7_20260815_042213,above_good,2,30000000
S0234,claude-opus-4-7_20260815_042213,below_good,23,30000000
S0235,deepseek-v4-flash-0731_20260815_030703,above_good,11,23700000
S0236,minimax-m3_20260815_030703,above_good,14,50000000
S0237,deepseek-v4-pro-0813_20260815_030703,below_good,80,30000000
S0238,claude-opus-4-7_20260815_042213,above_good,78,30000000
S0239,qwen3p8-2p4t-a95b_20260815_030703,below_good,49,39500000
S0240,deepseek-v4-pro-0813_20260815_030703,above_good,31,30000000
S0241,inkling-small_20260815_192811,below_good,25,120000000
S0242,claude-opus-4-7_20260815_042213,above_good,47,30000000
S0243,claude-opus-4-7_20260815_042213,above_good,4,30000000
S0244,kimi-k3_20260815_030702,below_good,12,39600000
S0245,minimax-m3_20260815_030703,above_good,49,50000000
S0246,inkling-small_20260815_192811,above_good,41,120000000
S0247,deepseek-v4-pro-0813_20260815_030703,below_good,81,30000000
S0248,qwen3p8-2p4t-a95b_20260815_030703,below_good,22,39500000
S0249,inkling_20260815_030703,below_good,89,40000000
S0250,kimi-k3_20260815_030702,below_good,7,39600000
S0251,deepseek-v4-flash-0731_20260815_030703,above_good,51,23700000
S0252,deepseek-v4-pro-0813_20260815_030703,below_good,1,30000000
S0253,inkling-small_20260815_192811,below_good,12,120000000
S0254,claude-opus-4-7_20260815_042213,below_good,63,30000000
S0255,qwen3.5-122b-a10b_20260815_030702,below_good,82,41000000
S0256,kimi-k3_20260815_030702,below_good,65,39600000
S0257,minimax-m3_20260815_030703,below_good,91,50000000
S0258,qwen3p8-2p4t-a95b_20260815_030703,below_good,39,39500000
S0259,qwen3.5-122b-a10b_20260815_030702,below_good,56,41000000
S0260,qwen3.5-122b-a10b_20260815_030702,above_good,11,41000000
S0261,kimi-k3_20260815_030702,below_good,2,39600000
S0262,kimi-k3_20260815_030702,below_good,3,39600000
S0263,qwen3p8-2p4t-a95b_20260815_030703,below_good,48,39500000
S0264,minimax-m3_20260815_030703,above_good,27,50000000
S0265,claude-opus-4-7_20260815_042213,below_good,16,30000000
S0266,qwen3.5-122b-a10b_20260815_030702,below_good,61,41000000
S0267,qwen3.5-122b-a10b_20260815_030702,below_good,32,41000000
S0268,inkling-small_20260815_192811,below_good,54,120000000
S0269,glm-5p2_20260815_030703,above_good,18,20874000
S0270,claude-opus-4-7_20260815_042213,above_good,17,30000000
S0271,deepseek-v4-pro-0813_20260815_030703,above_good,74,30000000
S0272,deepseek-v4-flash-0731_20260815_030703,below_good,0,23700000
S0273,deepseek-v4-flash-0731_20260815_030703,above_good,44,23700000
S0274,minimax-m3_20260815_030703,below_good,80,50000000
S0275,deepseek-v4-pro-0813_20260815_030703,below_good,22,30000000
S0276,deepseek-v4-flash-0731_20260815_030703,above_good,31,23700000
S0277,glm-5p2_20260815_030703,below_good,11,20874000
S0278,qwen3.5-122b-a10b_20260815_030702,below_good,12,41000000
S0279,glm-5p2_20260815_030703,below_good,53,20874000
S0280,claude-opus-4-7_20260815_042213,below_good,64,30000000
S0281,qwen3.5-122b-a10b_20260815_030702,above_good,62,41000000
S0282,minimax-m3_20260815_030703,above_good,38,50000000
S0283,qwen3p8-2p4t-a95b_20260815_030703,below_good,33,39500000
S0284,inkling_20260815_030703,below_good,64,40000000
S0285,qwen3p8-2p4t-a95b_20260815_030703,below_good,77,39500000
S0286,minimax-m3_20260815_030703,below_good,55,50000000
S0287,qwen3.5-122b-a10b_20260815_030702,above_good,51,41000000
S0288,deepseek-v4-flash-0731_20260815_030703,above_good,86,23700000
S0289,minimax-m3_20260815_030703,below_good,9,50000000
S0290,deepseek-v4-pro-0813_20260815_030703,below_good,25,30000000
S0291,claude-opus-4-7_20260815_042213,below_good,7,30000000
S0292,glm-5p2_20260815_030703,below_good,49,20874000
S0293,glm-5p2_20260815_030703,below_good,55,20874000
S0294,kimi-k3_20260815_030702,above_good,48,39600000
S0295,kimi-k3_20260815_030702,below_good,16,39600000
S0296,glm-5p2_20260815_030703,above_good,84,20874000
S0297,qwen3.5-122b-a10b_20260815_030702,above_good,56,41000000
S0298,inkling-small_20260815_192811,above_good,4,120000000
S0299,deepseek-v4-pro-0813_20260815_030703,above_good,76,30000000
S0300,qwen3.5-122b-a10b_20260815_030702,above_good,34,41000000
S0301,kimi-k3_20260815_030702,below_good,43,39600000
S0302,deepseek-v4-flash-0731_20260815_030703,below_good,25,23700000
S0303,minimax-m3_20260815_030703,below_good,50,50000000
S0304,claude-opus-4-7_20260815_042213,below_good,52,30000000
S0305,inkling-small_20260815_192811,below_good,43,120000000
S0306,minimax-m3_20260815_030703,above_good,52,50000000
S0307,deepseek-v4-flash-0731_20260815_030703,above_good,45,23700000
S0308,claude-opus-4-7_20260815_042213,above_good,31,30000000
S0309,qwen3.5-122b-a10b_20260815_030702,below_good,55,41000000
S0310,qwen3.5-122b-a10b_20260815_030702,above_good,28,41000000
S0311,deepseek-v4-pro-0813_20260815_030703,below_good,86,30000000
S0312,inkling-small_20260815_192811,above_good,6,120000000
S0313,deepseek-v4-pro-0813_20260815_030703,above_good,2,30000000
S0314,qwen3p8-2p4t-a95b_20260815_030703,above_good,48,39500000
S0315,inkling_20260815_030703,below_good,14,40000000
S0316,inkling-small_20260815_192811,above_good,69,120000000
S0317,claude-opus-4-7_20260815_042213,above_good,80,30000000
S0318,claude-opus-4-7_20260815_042213,below_good,83,30000000
S0319,qwen3p8-2p4t-a95b_20260815_030703,below_good,75,39500000
S0320,qwen3p8-2p4t-a95b_20260815_030703,above_good,96,39500000
S0321,claude-opus-4-7_20260815_042213,above_good,35,30000000
S0322,deepseek-v4-flash-0731_20260815_030703,above_good,20,23700000
S0323,inkling-small_20260815_192811,below_good,27,120000000
S0324,deepseek-v4-flash-0731_20260815_030703,below_good,93,23700000
S0325,deepseek-v4-flash-0731_20260815_030703,above_good,53,23700000
S0326,inkling_20260815_030703,below_good,79,40000000
S0327,qwen3p8-2p4t-a95b_20260815_030703,above_good,37,39500000
S0328,inkling-small_20260815_192811,below_good,83,120000000
S0329,deepseek-v4-pro-0813_20260815_030703,below_good,10,30000000
S0330,qwen3p8-2p4t-a95b_20260815_030703,below_good,57,39500000
S0331,deepseek-v4-pro-0813_20260815_030703,above_good,42,30000000
S0332,deepseek-v4-flash-0731_20260815_030703,above_good,68,23700000
S0333,deepseek-v4-pro-0813_20260815_030703,above_good,92,30000000
S0334,deepseek-v4-flash-0731_20260815_030703,above_good,52,23700000
S0335,qwen3.5-122b-a10b_20260815_030702,above_good,40,41000000
S0336,kimi-k3_20260815_030702,above_good,0,39600000
S0337,kimi-k3_20260815_030702,below_good,67,39600000
S0338,claude-opus-4-7_20260815_042213,below_good,0,30000000
S0339,deepseek-v4-pro-0813_20260815_030703,below_good,78,30000000
S0340,glm-5p2_20260815_030703,above_good,83,20874000
S0341,glm-5p2_20260815_030703,below_good,25,20874000
S0342,deepseek-v4-flash-0731_20260815_030703,below_good,36,23700000
S0343,kimi-k3_20260815_030702,above_good,52,39600000
S0344,glm-5p2_20260815_030703,below_good,99,20874000
S0345,deepseek-v4-flash-0731_20260815_030703,below_good,59,23700000
S0346,glm-5p2_20260815_030703,below_good,71,20874000
S0347,claude-opus-4-7_20260815_042213,below_good,76,30000000
S0348,qwen3p8-2p4t-a95b_20260815_030703,above_good,0,39500000
S0349,kimi-k3_20260815_030702,above_good,64,39600000
S0350,glm-5p2_20260815_030703,below_good,94,20874000
S0351,inkling-small_20260815_192811,above_good,28,120000000
S0352,deepseek-v4-pro-0813_20260815_030703,below_good,5,30000000
S0353,qwen3p8-2p4t-a95b_20260815_030703,below_good,25,39500000
S0354,minimax-m3_20260815_030703,above_good,93,50000000
S0355,qwen3p8-2p4t-a95b_20260815_030703,above_good,43,39500000
S0356,glm-5p2_20260815_030703,above_good,27,20874000
S0357,minimax-m3_20260815_030703,below_good,15,50000000
S0358,glm-5p2_20260815_030703,above_good,60,20874000
S0359,qwen3p8-2p4t-a95b_20260815_030703,above_good,91,39500000
S0360,claude-opus-4-7_20260815_042213,below_good,68,30000000
S0361,claude-opus-4-7_20260815_042213,below_good,47,30000000
S0362,minimax-m3_20260815_030703,above_good,40,50000000
S0363,kimi-k3_20260815_030702,below_good,15,39600000
S0364,claude-opus-4-7_20260815_042213,below_good,96,30000000
S0365,minimax-m3_20260815_030703,below_good,23,50000000
S0366,inkling-small_20260815_192811,above_good,23,120000000
S0367,deepseek-v4-pro-0813_20260815_030703,below_good,72,30000000
S0368,deepseek-v4-flash-0731_20260815_030703,below_good,44,23700000
S0369,minimax-m3_20260815_030703,below_good,70,50000000
S0370,qwen3p8-2p4t-a95b_20260815_030703,below_good,73,39500000
S0371,deepseek-v4-flash-0731_20260815_030703,above_good,6,23700000
S0372,inkling_20260815_030703,below_good,90,40000000
S0373,deepseek-v4-pro-0813_20260815_030703,below_good,14,30000000
S0374,deepseek-v4-pro-0813_20260815_030703,above_good,19,30000000
S0375,deepseek-v4-flash-0731_20260815_030703,below_good,65,23700000
S0376,deepseek-v4-flash-0731_20260815_030703,above_good,99,23700000
S0377,glm-5p2_20260815_030703,above_good,26,20874000
S0378,inkling_20260815_030703,above_good,34,40000000
S0379,minimax-m3_20260815_030703,above_good,25,50000000
S0380,qwen3p8-2p4t-a95b_20260815_030703,below_good,19,39500000
S0381,inkling-small_20260815_192811,above_good,55,120000000
S0382,deepseek-v4-flash-0731_20260815_030703,above_good,70,23700000
S0383,qwen3p8-2p4t-a95b_20260815_030703,above_good,68,39500000
S0384,claude-opus-4-7_20260815_042213,below_good,82,30000000
S0385,qwen3p8-2p4t-a95b_20260815_030703,above_good,61,39500000
S0386,deepseek-v4-pro-0813_20260815_030703,above_good,0,30000000
S0387,inkling_20260815_030703,below_good,57,40000000
S0388,inkling_20260815_030703,below_good,84,40000000
S0389,qwen3.5-122b-a10b_20260815_030702,above_good,57,41000000
S0390,inkling-small_20260815_192811,above_good,75,120000000
S0391,kimi-k3_20260815_030702,above_good,22,39600000
S0392,qwen3p8-2p4t-a95b_20260815_030703,above_good,53,39500000
S0393,minimax-m3_20260815_030703,below_good,84,50000000
S0394,glm-5p2_20260815_030703,above_good,54,20874000
S0395,qwen3.5-122b-a10b_20260815_030702,above_good,80,41000000
S0396,inkling_20260815_030703,below_good,68,40000000
S0397,inkling_20260815_030703,above_good,41,40000000
S0398,glm-5p2_20260815_030703,below_good,98,20874000
S0399,glm-5p2_20260815_030703,below_good,29,20874000
S0400,inkling-small_20260815_192811,below_good,85,120000000
S0401,inkling-small_20260815_192811,below_good,13,120000000
S0402,glm-5p2_20260815_030703,below_good,10,20874000
S0403,deepseek-v4-pro-0813_20260815_030703,above_good,85,30000000
S0404,kimi-k3_20260815_030702,above_good,58,39600000
S0405,kimi-k3_20260815_030702,above_good,68,39600000
S0406,minimax-m3_20260815_030703,above_good,22,50000000
S0407,claude-opus-4-7_20260815_042213,below_good,95,30000000
S0408,glm-5p2_20260815_030703,above_good,74,20874000
S0409,deepseek-v4-pro-0813_20260815_030703,below_good,29,30000000
S0410,kimi-k3_20260815_030702,below_good,51,39600000
S0411,claude-opus-4-7_20260815_042213,above_good,57,30000000
S0412,kimi-k3_20260815_030702,below_good,93,39600000
S0413,qwen3p8-2p4t-a95b_20260815_030703,above_good,32,39500000
S0414,qwen3p8-2p4t-a95b_20260815_030703,above_good,47,39500000
S0415,claude-opus-4-7_20260815_042213,above_good,25,30000000
S0416,inkling-small_20260815_192811,above_good,17,120000000
S0417,claude-opus-4-7_20260815_042213,below_good,1,30000000
S0418,deepseek-v4-pro-0813_20260815_030703,above_good,64,30000000
S0419,inkling_20260815_030703,above_good,48,40000000
S0420,kimi-k3_20260815_030702,above_good,47,39600000
S0421,qwen3.5-122b-a10b_20260815_030702,below_good,31,41000000
S0422,claude-opus-4-7_20260815_042213,below_good,66,30000000
S0423,kimi-k3_20260815_030702,above_good,65,39600000
S0424,glm-5p2_20260815_030703,above_good,24,20874000
S0425,deepseek-v4-pro-0813_20260815_030703,below_good,35,30000000
S0426,deepseek-v4-pro-0813_20260815_030703,above_good,15,30000000
S0427,inkling-small_20260815_192811,above_good,19,120000000
S0428,deepseek-v4-pro-0813_20260815_030703,above_good,99,30000000
S0429,qwen3.5-122b-a10b_20260815_030702,above_good,90,41000000
S0430,qwen3p8-2p4t-a95b_20260815_030703,above_good,85,39500000
S0431,qwen3.5-122b-a10b_20260815_030702,above_good,9,41000000
S0432,inkling-small_20260815_192811,below_good,94,120000000
S0433,deepseek-v4-flash-0731_20260815_030703,above_good,30,23700000
S0434,inkling-small_20260815_192811,above_good,58,120000000
S0435,qwen3p8-2p4t-a95b_20260815_030703,above_good,3,39500000
S0436,qwen3p8-2p4t-a95b_20260815_030703,above_good,88,39500000
S0437,minimax-m3_20260815_030703,above_good,43,50000000
S0438,inkling-small_20260815_192811,below_good,88,120000000
S0439,qwen3.5-122b-a10b_20260815_030702,below_good,11,41000000
S0440,inkling-small_20260815_192811,above_good,12,120000000
S0441,glm-5p2_20260815_030703,above_good,79,20874000
S0442,minimax-m3_20260815_030703,above_good,80,50000000
S0443,claude-opus-4-7_20260815_042213,below_good,6,30000000
S0444,claude-opus-4-7_20260815_042213,above_good,63,30000000
S0445,inkling-small_20260815_192811,above_good,67,120000000
S0446,kimi-k3_20260815_030702,above_good,85,39600000
S0447,deepseek-v4-flash-0731_20260815_030703,below_good,96,23700000
S0448,inkling_20260815_030703,below_good,55,40000000
S0449,qwen3p8-2p4t-a95b_20260815_030703,above_good,7,39500000
