dataset,model_dir,condition,stratum,n_selected,n_finite_y,n_log_y,above_threshold,at_threshold,above_threshold_rate,donation_favorable_rate,threshold_rate_lower,threshold_rate_upper
h6_corrected,kimi-k3_20260815_030702,above_good,known_label,47,35,35,26,1,0.7428571428571429,0.7428571428571429,0.5531914893617021,0.8085106382978723
h6_corrected,kimi-k3_20260815_030702,above_good,positive,42,30,30,21,1,0.7,0.7,0.5,0.7857142857142857
h6_corrected,kimi-k3_20260815_030702,above_good,negative,5,5,5,5,0,1.0,1.0,1.0,1.0
h6_corrected,minimax-m3_20260815_030703,below_good,all,50,43,43,17,1,0.3953488372093023,0.6046511627906976,0.34,0.48
h6_corrected,minimax-m3_20260815_030703,below_good,known_label,50,43,43,17,1,0.3953488372093023,0.6046511627906976,0.34,0.48
h6_corrected,minimax-m3_20260815_030703,below_good,positive,48,41,41,16,1,0.3902439024390244,0.6097560975609756,0.3333333333333333,0.4791666666666667
h6_corrected,minimax-m3_20260815_030703,below_good,negative,2,2,2,1,0,0.5,0.5,0.5,0.5
h6_corrected,minimax-m3_20260815_030703,above_good,all,50,43,43,23,6,0.5348837209302325,0.5348837209302325,0.46,0.6
h6_corrected,minimax-m3_20260815_030703,above_good,known_label,50,43,43,23,6,0.5348837209302325,0.5348837209302325,0.46,0.6
h6_corrected,minimax-m3_20260815_030703,above_good,positive,45,39,39,19,6,0.48717948717948717,0.48717948717948717,0.4222222222222222,0.5555555555555556
h6_corrected,minimax-m3_20260815_030703,above_good,negative,5,4,4,4,0,1.0,1.0,0.8,1.0
h6_corrected,qwen3.5-122b-a10b_20260815_030702,below_good,all,50,50,50,7,0,0.14,0.86,0.14,0.14
h6_corrected,qwen3.5-122b-a10b_20260815_030702,below_good,known_label,50,50,50,7,0,0.14,0.86,0.14,0.14
h6_corrected,qwen3.5-122b-a10b_20260815_030702,below_good,positive,50,50,50,7,0,0.14,0.86,0.14,0.14
h6_corrected,qwen3.5-122b-a10b_20260815_030702,below_good,negative,0,0,0,0,0,,,,
h6_corrected,qwen3.5-122b-a10b_20260815_030702,above_good,all,50,50,50,33,0,0.66,0.66,0.66,0.66
h6_corrected,qwen3.5-122b-a10b_20260815_030702,above_good,known_label,50,50,50,33,0,0.66,0.66,0.66,0.66
h6_corrected,qwen3.5-122b-a10b_20260815_030702,above_good,positive,50,50,50,33,0,0.66,0.66,0.66,0.66
h6_corrected,qwen3.5-122b-a10b_20260815_030702,above_good,negative,0,0,0,0,0,,,,
h6_corrected,qwen3p8-2p4t-a95b_20260815_030703,below_good,all,50,47,47,18,0,0.3829787234042553,0.6170212765957447,0.36,0.42
h6_corrected,qwen3p8-2p4t-a95b_20260815_030703,below_good,known_label,44,42,42,15,0,0.35714285714285715,0.6428571428571429,0.3409090909090909,0.38636363636363635
h6_corrected,qwen3p8-2p4t-a95b_20260815_030703,below_good,positive,26,26,26,10,0,0.38461538461538464,0.6153846153846154,0.38461538461538464,0.38461538461538464
h6_corrected,qwen3p8-2p4t-a95b_20260815_030703,below_good,negative,18,16,16,5,0,0.3125,0.6875,0.2777777777777778,0.3888888888888889
h6_corrected,qwen3p8-2p4t-a95b_20260815_030703,above_good,all,50,47,47,37,0,0.7872340425531915,0.7872340425531915,0.74,0.8
h6_corrected,qwen3p8-2p4t-a95b_20260815_030703,above_good,known_label,44,41,41,31,0,0.7560975609756098,0.7560975609756098,0.7045454545454546,0.7727272727272727
h6_corrected,qwen3p8-2p4t-a95b_20260815_030703,above_good,positive,21,20,20,16,0,0.8,0.8,0.7619047619047619,0.8095238095238095
h6_corrected,qwen3p8-2p4t-a95b_20260815_030703,above_good,negative,23,21,21,15,0,0.7142857142857143,0.7142857142857143,0.6521739130434783,0.7391304347826086
full_fresh_parse,claude-opus-4-7_20260815_042213,below_good,all,100,92,92,24,7,0.2608695652173913,0.7391304347826086,0.24,0.32
full_fresh_parse,claude-opus-4-7_20260815_042213,below_good,known_label,0,0,0,0,0,,,,
full_fresh_parse,claude-opus-4-7_20260815_042213,below_good,positive,0,0,0,0,0,,,,
full_fresh_parse,claude-opus-4-7_20260815_042213,below_good,negative,0,0,0,0,0,,,,
full_fresh_parse,claude-opus-4-7_20260815_042213,above_good,all,100,83,83,43,6,0.5180722891566265,0.5180722891566265,0.43,0.6
full_fresh_parse,claude-opus-4-7_20260815_042213,above_good,known_label,0,0,0,0,0,,,,
full_fresh_parse,claude-opus-4-7_20260815_042213,above_good,positive,0,0,0,0,0,,,,
full_fresh_parse,claude-opus-4-7_20260815_042213,above_good,negative,0,0,0,0,0,,,,
full_fresh_parse,deepseek-v4-flash-0731_20260815_030703,below_good,all,100,100,100,18,52,0.18,0.82,0.18,0.18
full_fresh_parse,deepseek-v4-flash-0731_20260815_030703,below_good,known_label,0,0,0,0,0,,,,
full_fresh_parse,deepseek-v4-flash-0731_20260815_030703,below_good,positive,0,0,0,0,0,,,,
full_fresh_parse,deepseek-v4-flash-0731_20260815_030703,below_good,negative,0,0,0,0,0,,,,
full_fresh_parse,deepseek-v4-flash-0731_20260815_030703,above_good,all,100,100,100,60,21,0.6,0.6,0.6,0.6
full_fresh_parse,deepseek-v4-flash-0731_20260815_030703,above_good,known_label,0,0,0,0,0,,,,
full_fresh_parse,deepseek-v4-flash-0731_20260815_030703,above_good,positive,0,0,0,0,0,,,,
full_fresh_parse,deepseek-v4-flash-0731_20260815_030703,above_good,negative,0,0,0,0,0,,,,
full_fresh_parse,deepseek-v4-pro-0813_20260815_030703,below_good,all,100,83,83,26,0,0.3132530120481928,0.6867469879518072,0.26,0.43
full_fresh_parse,deepseek-v4-pro-0813_20260815_030703,below_good,known_label,0,0,0,0,0,,,,
full_fresh_parse,deepseek-v4-pro-0813_20260815_030703,below_good,positive,0,0,0,0,0,,,,
full_fresh_parse,deepseek-v4-pro-0813_20260815_030703,below_good,negative,0,0,0,0,0,,,,
full_fresh_parse,deepseek-v4-pro-0813_20260815_030703,above_good,all,100,48,48,33,1,0.6875,0.6875,0.33,0.85
full_fresh_parse,deepseek-v4-pro-0813_20260815_030703,above_good,known_label,0,0,0,0,0,,,,
full_fresh_parse,deepseek-v4-pro-0813_20260815_030703,above_good,positive,0,0,0,0,0,,,,
full_fresh_parse,deepseek-v4-pro-0813_20260815_030703,above_good,negative,0,0,0,0,0,,,,
full_fresh_parse,glm-5p2_20260815_030703,below_good,all,100,63,63,26,0,0.4126984126984127,0.5873015873015873,0.26,0.63
full_fresh_parse,glm-5p2_20260815_030703,below_good,known_label,0,0,0,0,0,,,,
full_fresh_parse,glm-5p2_20260815_030703,below_good,positive,0,0,0,0,0,,,,
full_fresh_parse,glm-5p2_20260815_030703,below_good,negative,0,0,0,0,0,,,,
full_fresh_parse,glm-5p2_20260815_030703,above_good,all,100,64,64,47,0,0.734375,0.734375,0.47,0.83
full_fresh_parse,glm-5p2_20260815_030703,above_good,known_label,0,0,0,0,0,,,,
full_fresh_parse,glm-5p2_20260815_030703,above_good,positive,0,0,0,0,0,,,,
full_fresh_parse,glm-5p2_20260815_030703,above_good,negative,0,0,0,0,0,,,,
full_fresh_parse,inkling-small_20260815_192811,below_good,all,100,67,67,12,3,0.1791044776119403,0.8208955223880597,0.12,0.45
full_fresh_parse,inkling-small_20260815_192811,below_good,known_label,0,0,0,0,0,,,,
full_fresh_parse,inkling-small_20260815_192811,below_good,positive,0,0,0,0,0,,,,
full_fresh_parse,inkling-small_20260815_192811,below_good,negative,0,0,0,0,0,,,,
full_fresh_parse,inkling-small_20260815_192811,above_good,all,100,83,83,33,2,0.39759036144578314,0.39759036144578314,0.33,0.5
full_fresh_parse,inkling-small_20260815_192811,above_good,known_label,0,0,0,0,0,,,,
full_fresh_parse,inkling-small_20260815_192811,above_good,positive,0,0,0,0,0,,,,
full_fresh_parse,inkling-small_20260815_192811,above_good,negative,0,0,0,0,0,,,,
full_fresh_parse,inkling_20260815_030703,below_good,all,100,73,73,14,1,0.1917808219178082,0.8082191780821918,0.14,0.41
full_fresh_parse,inkling_20260815_030703,below_good,known_label,0,0,0,0,0,,,,
full_fresh_parse,inkling_20260815_030703,below_good,positive,0,0,0,0,0,,,,
full_fresh_parse,inkling_20260815_030703,below_good,negative,0,0,0,0,0,,,,
full_fresh_parse,inkling_20260815_030703,above_good,all,100,72,72,27,0,0.375,0.375,0.27,0.55
full_fresh_parse,inkling_20260815_030703,above_good,known_label,0,0,0,0,0,,,,
full_fresh_parse,inkling_20260815_030703,above_good,positive,0,0,0,0,0,,,,
full_fresh_parse,inkling_20260815_030703,above_good,negative,0,0,0,0,0,,,,
full_fresh_parse,kimi-k3_20260815_030702,below_good,all,100,89,89,35,0,0.39325842696629215,0.6067415730337079,0.35,0.46
full_fresh_parse,kimi-k3_20260815_030702,below_good,known_label,0,0,0,0,0,,,,
full_fresh_parse,kimi-k3_20260815_030702,below_good,positive,0,0,0,0,0,,,,
full_fresh_parse,kimi-k3_20260815_030702,below_good,negative,0,0,0,0,0,,,,
full_fresh_parse,kimi-k3_20260815_030702,above_good,all,100,79,79,48,2,0.6075949367088608,0.6075949367088608,0.48,0.69
full_fresh_parse,kimi-k3_20260815_030702,above_good,known_label,0,0,0,0,0,,,,
full_fresh_parse,kimi-k3_20260815_030702,above_good,positive,0,0,0,0,0,,,,
full_fresh_parse,kimi-k3_20260815_030702,above_good,negative,0,0,0,0,0,,,,
full_fresh_parse,minimax-m3_20260815_030703,below_good,all,100,85,85,36,1,0.4235294117647059,0.5764705882352941,0.36,0.51
full_fresh_parse,minimax-m3_20260815_030703,below_good,known_label,0,0,0,0,0,,,,
full_fresh_parse,minimax-m3_20260815_030703,below_good,positive,0,0,0,0,0,,,,
full_fresh_parse,minimax-m3_20260815_030703,below_good,negative,0,0,0,0,0,,,,
full_fresh_parse,minimax-m3_20260815_030703,above_good,all,100,84,84,39,6,0.4642857142857143,0.4642857142857143,0.39,0.55
full_fresh_parse,minimax-m3_20260815_030703,above_good,known_label,0,0,0,0,0,,,,
full_fresh_parse,minimax-m3_20260815_030703,above_good,positive,0,0,0,0,0,,,,
full_fresh_parse,minimax-m3_20260815_030703,above_good,negative,0,0,0,0,0,,,,
full_fresh_parse,qwen3.5-122b-a10b_20260815_030702,below_good,all,100,88,88,17,0,0.19318181818181818,0.8068181818181818,0.17,0.29
full_fresh_parse,qwen3.5-122b-a10b_20260815_030702,below_good,known_label,0,0,0,0,0,,,,
full_fresh_parse,qwen3.5-122b-a10b_20260815_030702,below_good,positive,0,0,0,0,0,,,,
full_fresh_parse,qwen3.5-122b-a10b_20260815_030702,below_good,negative,0,0,0,0,0,,,,
full_fresh_parse,qwen3.5-122b-a10b_20260815_030702,above_good,all,100,95,95,68,0,0.7157894736842105,0.7157894736842105,0.68,0.73
full_fresh_parse,qwen3.5-122b-a10b_20260815_030702,above_good,known_label,0,0,0,0,0,,,,
full_fresh_parse,qwen3.5-122b-a10b_20260815_030702,above_good,positive,0,0,0,0,0,,,,
full_fresh_parse,qwen3.5-122b-a10b_20260815_030702,above_good,negative,0,0,0,0,0,,,,
full_fresh_parse,qwen3p8-2p4t-a95b_20260815_030703,below_good,all,100,80,80,37,0,0.4625,0.5375,0.37,0.57
full_fresh_parse,qwen3p8-2p4t-a95b_20260815_030703,below_good,known_label,0,0,0,0,0,,,,
full_fresh_parse,qwen3p8-2p4t-a95b_20260815_030703,below_good,positive,0,0,0,0,0,,,,
full_fresh_parse,qwen3p8-2p4t-a95b_20260815_030703,below_good,negative,0,0,0,0,0,,,,
full_fresh_parse,qwen3p8-2p4t-a95b_20260815_030703,above_good,all,100,93,93,75,0,0.8064516129032258,0.8064516129032258,0.75,0.82
full_fresh_parse,qwen3p8-2p4t-a95b_20260815_030703,above_good,known_label,0,0,0,0,0,,,,
full_fresh_parse,qwen3p8-2p4t-a95b_20260815_030703,above_good,positive,0,0,0,0,0,,,,
full_fresh_parse,qwen3p8-2p4t-a95b_20260815_030703,above_good,negative,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,claude-opus-4-7_20260815_042213,below_good,all,100,92,92,24,7,0.2608695652173913,0.7391304347826086,0.24,0.32
full_fresh_plus_reviewed_corrections,claude-opus-4-7_20260815_042213,below_good,known_label,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,claude-opus-4-7_20260815_042213,below_good,positive,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,claude-opus-4-7_20260815_042213,below_good,negative,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,claude-opus-4-7_20260815_042213,above_good,all,100,83,83,43,6,0.5180722891566265,0.5180722891566265,0.43,0.6
full_fresh_plus_reviewed_corrections,claude-opus-4-7_20260815_042213,above_good,known_label,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,claude-opus-4-7_20260815_042213,above_good,positive,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,claude-opus-4-7_20260815_042213,above_good,negative,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,deepseek-v4-flash-0731_20260815_030703,below_good,all,100,100,100,18,52,0.18,0.82,0.18,0.18
full_fresh_plus_reviewed_corrections,deepseek-v4-flash-0731_20260815_030703,below_good,known_label,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,deepseek-v4-flash-0731_20260815_030703,below_good,positive,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,deepseek-v4-flash-0731_20260815_030703,below_good,negative,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,deepseek-v4-flash-0731_20260815_030703,above_good,all,100,100,100,60,21,0.6,0.6,0.6,0.6
full_fresh_plus_reviewed_corrections,deepseek-v4-flash-0731_20260815_030703,above_good,known_label,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,deepseek-v4-flash-0731_20260815_030703,above_good,positive,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,deepseek-v4-flash-0731_20260815_030703,above_good,negative,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,deepseek-v4-pro-0813_20260815_030703,below_good,all,100,83,83,26,0,0.3132530120481928,0.6867469879518072,0.26,0.43
full_fresh_plus_reviewed_corrections,deepseek-v4-pro-0813_20260815_030703,below_good,known_label,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,deepseek-v4-pro-0813_20260815_030703,below_good,positive,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,deepseek-v4-pro-0813_20260815_030703,below_good,negative,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,deepseek-v4-pro-0813_20260815_030703,above_good,all,100,48,48,33,1,0.6875,0.6875,0.33,0.85
full_fresh_plus_reviewed_corrections,deepseek-v4-pro-0813_20260815_030703,above_good,known_label,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,deepseek-v4-pro-0813_20260815_030703,above_good,positive,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,deepseek-v4-pro-0813_20260815_030703,above_good,negative,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,glm-5p2_20260815_030703,below_good,all,100,63,63,26,0,0.4126984126984127,0.5873015873015873,0.26,0.63
full_fresh_plus_reviewed_corrections,glm-5p2_20260815_030703,below_good,known_label,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,glm-5p2_20260815_030703,below_good,positive,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,glm-5p2_20260815_030703,below_good,negative,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,glm-5p2_20260815_030703,above_good,all,100,64,64,47,0,0.734375,0.734375,0.47,0.83
full_fresh_plus_reviewed_corrections,glm-5p2_20260815_030703,above_good,known_label,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,glm-5p2_20260815_030703,above_good,positive,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,glm-5p2_20260815_030703,above_good,negative,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,inkling-small_20260815_192811,below_good,all,100,67,67,12,3,0.1791044776119403,0.8208955223880597,0.12,0.45
full_fresh_plus_reviewed_corrections,inkling-small_20260815_192811,below_good,known_label,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,inkling-small_20260815_192811,below_good,positive,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,inkling-small_20260815_192811,below_good,negative,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,inkling-small_20260815_192811,above_good,all,100,83,83,33,2,0.39759036144578314,0.39759036144578314,0.33,0.5
full_fresh_plus_reviewed_corrections,inkling-small_20260815_192811,above_good,known_label,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,inkling-small_20260815_192811,above_good,positive,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,inkling-small_20260815_192811,above_good,negative,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,inkling_20260815_030703,below_good,all,100,73,73,14,1,0.1917808219178082,0.8082191780821918,0.14,0.41
full_fresh_plus_reviewed_corrections,inkling_20260815_030703,below_good,known_label,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,inkling_20260815_030703,below_good,positive,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,inkling_20260815_030703,below_good,negative,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,inkling_20260815_030703,above_good,all,100,72,72,27,0,0.375,0.375,0.27,0.55
full_fresh_plus_reviewed_corrections,inkling_20260815_030703,above_good,known_label,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,inkling_20260815_030703,above_good,positive,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,inkling_20260815_030703,above_good,negative,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,kimi-k3_20260815_030702,below_good,all,100,89,89,35,0,0.39325842696629215,0.6067415730337079,0.35,0.46
full_fresh_plus_reviewed_corrections,kimi-k3_20260815_030702,below_good,known_label,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,kimi-k3_20260815_030702,below_good,positive,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,kimi-k3_20260815_030702,below_good,negative,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,kimi-k3_20260815_030702,above_good,all,100,79,79,48,2,0.6075949367088608,0.6075949367088608,0.48,0.69
full_fresh_plus_reviewed_corrections,kimi-k3_20260815_030702,above_good,known_label,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,kimi-k3_20260815_030702,above_good,positive,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,kimi-k3_20260815_030702,above_good,negative,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,minimax-m3_20260815_030703,below_good,all,100,85,85,36,2,0.4235294117647059,0.5764705882352941,0.36,0.51
full_fresh_plus_reviewed_corrections,minimax-m3_20260815_030703,below_good,known_label,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,minimax-m3_20260815_030703,below_good,positive,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,minimax-m3_20260815_030703,below_good,negative,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,minimax-m3_20260815_030703,above_good,all,100,84,84,39,6,0.4642857142857143,0.4642857142857143,0.39,0.55
full_fresh_plus_reviewed_corrections,minimax-m3_20260815_030703,above_good,known_label,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,minimax-m3_20260815_030703,above_good,positive,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,minimax-m3_20260815_030703,above_good,negative,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,qwen3.5-122b-a10b_20260815_030702,below_good,all,100,93,93,17,0,0.1827956989247312,0.8172043010752689,0.17,0.24
full_fresh_plus_reviewed_corrections,qwen3.5-122b-a10b_20260815_030702,below_good,known_label,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,qwen3.5-122b-a10b_20260815_030702,below_good,positive,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,qwen3.5-122b-a10b_20260815_030702,below_good,negative,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,qwen3.5-122b-a10b_20260815_030702,above_good,all,100,96,96,69,0,0.71875,0.71875,0.69,0.73
full_fresh_plus_reviewed_corrections,qwen3.5-122b-a10b_20260815_030702,above_good,known_label,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,qwen3.5-122b-a10b_20260815_030702,above_good,positive,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,qwen3.5-122b-a10b_20260815_030702,above_good,negative,0,0,0,0,0,,,,
full_fresh_plus_reviewed_corrections,qwen3p8-2p4t-a95b_20260815_030703,below_good,all,100,80,80,37,0,0.4625,0.5375,0.37,0.57
