blinded_id,parser_estimate,parser_status,reviewer_status,reviewer_estimate,reason
b_0ae45fbb0aea4fbcb774,24000000,clear,agree,24000000,Explicit final point estimate matches the parser estimate.
b_0ba382d87d55e25aad35,39000000,clear,agree,39000000,Explicit final point estimate matches the parser estimate.
b_0c38bac07be5bab7571d,23000000,clear,agree,23000000,Explicit final point estimate matches the parser estimate.
b_0c580bd31c7309bb1a57,39000000,clear,agree,39000000,Explicit final point estimate matches the parser estimate.
b_0c619d139992e14d011a,1665000000,clear,agree,1665000000,Explicit final point estimate matches the parser estimate.
b_0cc5263bc24ceed4fcf5,58500000,clear,agree,58500000,Explicit final point estimate matches the parser estimate.
b_0ccee3dd2444e891920e,35000000,clear,agree,35000000,Explicit final point estimate matches the parser estimate.
b_0cff770c47b903f005f3,24000000,clear,agree,24000000,Explicit final point estimate matches the parser estimate.
b_0d362240f9f27621bff4,20000000,clear,agree,20000000,Explicit final point estimate matches the parser estimate.
b_0d3c195263f06623805f,,ambiguous,disagree,53000000,"One explicit terminal point estimate is 53,000,000; the parser marked the row ambiguous."
b_0d5dc9fd0388822f4f4b,43000000,clear,agree,43000000,Explicit final point estimate matches the parser estimate.
b_0e230d5e72405009d850,58000000,clear,agree,58000000,Explicit final point estimate matches the parser estimate.
b_0e42ca6b20f82872be13,32000000,clear,agree,32000000,Explicit final point estimate matches the parser estimate.
b_100c0bf06b3eefa270d5,25740000,clear,agree,25740000,Explicit final point estimate matches the parser estimate.
b_101671f59d13f536fd2a,93600000,clear,agree,93600000,Explicit final point estimate matches the parser estimate.
b_10da4be96469616b67bf,66000000,clear,agree,66000000,Explicit final point estimate matches the parser estimate.
b_12946a6a17b54f84678e,34000000,clear,agree,34000000,Explicit final point estimate matches the parser estimate.
b_135a34457913e0ef7a38,28000000,clear,agree,28000000,Explicit final point estimate matches the parser estimate.
b_138d3420cb8ddb51aaa8,35000000,clear,agree,35000000,Explicit final point estimate matches the parser estimate.
b_13e47c087662e3801cb4,30000000,clear,agree,30000000,Explicit final point estimate matches the parser estimate.
b_15bfd0d34d5fbbda68e2,17550000,clear,agree,17550000,Explicit final point estimate matches the parser estimate.
b_15c82188f8215fcdf91e,25000000,clear,agree,25000000,Explicit final point estimate matches the parser estimate.
b_15d53b9b6bae2f27cc33,23500000,clear,agree,23500000,Explicit final point estimate matches the parser estimate.
b_1948360da15a8f53f7a4,30000000,clear,agree,30000000,Explicit final point estimate matches the parser estimate.
b_199ef86f1823bc782483,200000000,clear,agree,200000000,Explicit final point estimate matches the parser estimate.
b_19b4c8fb4f603daf825b,35000000,clear,agree,35000000,Explicit final point estimate matches the parser estimate.
b_19f8b3a97f07f91fc920,35000000,clear,agree,35000000,Explicit final point estimate matches the parser estimate.
b_1a12eb420d360958bd41,33000000,clear,agree,33000000,Explicit final point estimate matches the parser estimate.
b_1a600fe01fb065f03f09,30000000,clear,agree,30000000,Explicit final point estimate matches the parser estimate.
b_1ae540e8468535fa43ad,41000000,clear,agree,41000000,Explicit final point estimate matches the parser estimate.
b_1aef76b38ac324aee9c4,,ambiguous,disagree,39000000,"One explicit opening estimate is 39,000,000, reinforced by the concluding calculation; the parser marked the row ambiguous."
b_1afec9f624a5ef3bac6e,,ambiguous,disagree,40000000,"One explicit final point estimate is 40,000,000; the parser marked the row ambiguous."
b_1d81d95bd7b01bf8e9a7,30000000,clear,agree,30000000,Explicit final point estimate matches the parser estimate.
b_1e1b1973f672c7e651ee,35000000,clear,agree,35000000,Explicit final point estimate matches the parser estimate.
b_22c21d921dc5c3f9bb0e,23000000,clear,agree,23000000,Explicit final point estimate matches the parser estimate.
b_235f280c3e3f6cd63848,30000000,clear,agree,30000000,Explicit final point estimate matches the parser estimate.
b_23e1bc894c3a8ed0288a,,ambiguous,disagree,55200000,"One explicit terminal calculation/result is 55,200,000; the parser marked the row ambiguous."
b_249e00f14b45f6d1e60f,24000000,clear,agree,24000000,Explicit final point estimate matches the parser estimate.
b_2550592cdf95b9867774,47000000,clear,agree,47000000,Explicit final point estimate matches the parser estimate.
b_255385c53ca5473f8c70,45000000,clear,agree,45000000,Explicit final point estimate matches the parser estimate.
b_26684fd04bcb928e50c2,120000000,clear,agree,120000000,Explicit final point estimate matches the parser estimate.
b_2715925c004cc0632c59,25000000,clear,agree,25000000,Explicit final point estimate matches the parser estimate.
b_281cb039c19e58ad38c3,35000000,clear,agree,35000000,Explicit final point estimate matches the parser estimate.
b_28747dff35d9e124725d,30000000,clear,agree,30000000,Explicit final point estimate matches the parser estimate.
b_2a61fb0544e4bf170804,266000000,clear,agree,266000000,Explicit final point estimate matches the parser estimate.
b_2a7c1c41eb514781e4fc,33300000,clear,agree,33300000,Explicit final point estimate matches the parser estimate.
b_2b6304e0e8579515072d,,ambiguous,disagree,45000000,"One explicit terminal result is 45,000,000; the parser marked the row ambiguous."
b_2c77ad8361814123c573,30000000,clear,agree,30000000,Explicit final point estimate matches the parser estimate.
b_2cacd38d26ce776688d9,,ambiguous,disagree,37000000,"One explicit terminal result is 37,000,000; the parser marked the row ambiguous."
b_2f59e4d351c9a75d0714,24000000,clear,agree,24000000,Explicit final point estimate matches the parser estimate.
b_2f6b4098149c83ddf460,,ambiguous,disagree,40920000,"One explicit final point estimate is 40,920,000; the parser marked the row ambiguous."
b_30025efbc4d23b9cb354,,ambiguous,disagree,23400000,"One explicit single best point estimate is 23,400,000; the parser marked the row ambiguous."
b_302e569afc37646869c1,29000000,clear,agree,29000000,Explicit final point estimate matches the parser estimate.
b_3176bbe61b36f7fb8519,58500000,clear,agree,58500000,Explicit final point estimate matches the parser estimate.
b_33bad18f5caea2aeb864,65000000,clear,agree,65000000,Explicit final point estimate matches the parser estimate.
b_34948160dd5d472ea536,42350000,clear,agree,42350000,Explicit final point estimate matches the parser estimate.
b_351262e7d1d7b5b77ccc,70000000,clear,agree,70000000,Explicit final point estimate matches the parser estimate.
b_362f4eb39639c2f1d8d3,90000000,clear,agree,90000000,Explicit final point estimate matches the parser estimate.
b_36905082244647b2bfa9,24000000,clear,agree,24000000,Explicit final point estimate matches the parser estimate.
b_36c7a27c9b69d8d99a91,83500000,clear,agree,83500000,Explicit final point estimate matches the parser estimate.
b_36cc1457cd94e15bb1e6,25000000,clear,agree,25000000,Explicit final point estimate matches the parser estimate.
b_36fd97108de704315ba3,33000000,clear,agree,33000000,Explicit final point estimate matches the parser estimate.
b_373ae8e40f7d42b00695,175000000,clear,agree,175000000,Explicit final point estimate matches the parser estimate.
b_378f13914e4467f76be8,23000000,clear,agree,23000000,Explicit final point estimate matches the parser estimate.
b_37d144b66b3d41fc95a1,39600000,clear,agree,39600000,Explicit final point estimate matches the parser estimate.
b_37e90c48f59cf088cec5,40000000,clear,agree,40000000,Explicit final point estimate matches the parser estimate.
b_38eefd6c26605506fe3f,60000000,clear,agree,60000000,Explicit final point estimate matches the parser estimate.
b_39f36de5f92249315ad5,35000000,clear,agree,35000000,Explicit final point estimate matches the parser estimate.
b_3b579e161395e2534290,23500000,clear,agree,23500000,Explicit final point estimate matches the parser estimate.
b_3b699002bf7bb8d8555a,88000000,clear,agree,88000000,Explicit final point estimate matches the parser estimate.
b_3c35c182bf7358cb6723,23000000,clear,agree,23000000,Explicit final point estimate matches the parser estimate.
b_3c8d7128cf74c74ebf63,32000000,clear,agree,32000000,Explicit final point estimate matches the parser estimate.
b_3cd7f749b566f73b5e5c,350000000,clear,agree,350000000,Explicit final point estimate matches the parser estimate.
b_409fb6de0a4baedd45d7,26000000,clear,agree,26000000,Explicit final point estimate matches the parser estimate.
b_42161755411e8bb7e148,23400000,clear,agree,23400000,Explicit final point estimate matches the parser estimate.
b_426278ed9ec7424994c2,30000000,clear,agree,30000000,Explicit final point estimate matches the parser estimate.
b_42cbd5d4332003e54f01,42000000,clear,agree,42000000,Explicit final point estimate matches the parser estimate.
b_42d0ea88c4830d5304b0,45000000,clear,agree,45000000,Explicit final point estimate matches the parser estimate.
b_43bdc0aea4a908380bbd,66000000,clear,agree,66000000,Explicit final point estimate matches the parser estimate.
b_440141c6ddfc0ff5a2d3,30000000,clear,agree,30000000,Explicit final point estimate matches the parser estimate.
b_441dbc21f93cac8a0a11,48500000,clear,agree,48500000,Explicit final point estimate matches the parser estimate.
b_44a40f7b64badda778df,24000000,clear,agree,24000000,Explicit final point estimate matches the parser estimate.
b_46832b8bf41039ed5e15,23000000,clear,agree,23000000,Explicit final point estimate matches the parser estimate.
b_4695d1dddc00387ace04,55000000,clear,agree,55000000,Explicit final point estimate matches the parser estimate.
b_469ded9403732b77a16b,41000000,clear,agree,41000000,Explicit final point estimate matches the parser estimate.
b_477ac125d2ca2a4fc164,23400000,clear,agree,23400000,Explicit final point estimate matches the parser estimate.
b_47cfedbcc2b0c62cec30,23600000,clear,agree,23600000,Explicit final point estimate matches the parser estimate.
b_48a326bf096411beabd7,23000000,clear,agree,23000000,Explicit final point estimate matches the parser estimate.
b_493022e84e431ae7b255,60000000,clear,agree,60000000,Explicit final point estimate matches the parser estimate.
b_4a39740511f34fece589,,ambiguous,disagree,35000000,"One explicit terminal rounded estimate is 35,000,000; the parser marked the row ambiguous."
b_4aa062993b72dff5df4b,70000000,clear,agree,70000000,Explicit final point estimate matches the parser estimate.
b_4ad40e4c1c60723de5b8,33000000,clear,agree,33000000,Explicit final point estimate matches the parser estimate.
b_4b6cd3b33adcb2586f67,35500000,clear,agree,35500000,Explicit final point estimate matches the parser estimate.
b_4c1503f8669e6d7e5555,24000000,clear,agree,24000000,Explicit final point estimate matches the parser estimate.
b_4e48ac5d1bb0f851a4a8,17500000,clear,agree,17500000,Explicit final point estimate matches the parser estimate.
b_50f3e2980d696e7cc719,59000000,clear,agree,59000000,Explicit final point estimate matches the parser estimate.
b_51777348aa8bf5f5afdf,23400000,clear,agree,23400000,Explicit final point estimate matches the parser estimate.
b_517939a8da8bca42baf7,44000000,clear,agree,44000000,Explicit final point estimate matches the parser estimate.
b_52d8357f304831220f21,70000000,clear,agree,70000000,Explicit final point estimate matches the parser estimate.
b_52f6bcd4e4144d4be0e1,29000000,clear,agree,29000000,Explicit final point estimate matches the parser estimate.
b_536c65738d016a6453ae,45000000,clear,agree,45000000,Explicit final point estimate matches the parser estimate.
b_536f25b52c56b89864ea,45000000,clear,agree,45000000,Explicit final point estimate matches the parser estimate.
b_5471e6c470fd107c34ac,30000000,clear,agree,30000000,Explicit final point estimate matches the parser estimate.
b_54958676795003af165e,25000000,clear,agree,25000000,Explicit final point estimate matches the parser estimate.
b_5505f1e4bb8c87072e62,24000000,clear,agree,24000000,Explicit final point estimate matches the parser estimate.
b_569e5332801733c15d4d,70000000,clear,agree,70000000,Explicit final point estimate matches the parser estimate.
b_579e94d1f05b77d59dd7,23400000,clear,agree,23400000,Explicit final point estimate matches the parser estimate.
b_5b390517a6d7c760c0ad,37500000,clear,agree,37500000,Explicit final point estimate matches the parser estimate.
b_5b843f2cc6b551011b05,45000000,clear,agree,45000000,Explicit final point estimate matches the parser estimate.
b_5bc2fbc6c569ab13f328,41000000,clear,agree,41000000,Explicit final point estimate matches the parser estimate.
b_5c3bf25f9ef6de67bb3e,23700000,clear,agree,23700000,Explicit final point estimate matches the parser estimate.
b_5d1043e27f853781d608,36000000,clear,agree,36000000,Explicit final point estimate matches the parser estimate.
b_5dc455938555a0ee15fb,29250000,clear,agree,29250000,Explicit final point estimate matches the parser estimate.
b_60c5749fa5a84d496db3,30000000,clear,agree,30000000,Explicit final point estimate matches the parser estimate.
b_619a238ed01ee3aaad93,29000000,clear,agree,29000000,Explicit final point estimate matches the parser estimate.
b_630dd26d05a1ac2ca659,23000000,clear,agree,23000000,Explicit final point estimate matches the parser estimate.
b_63582002d145b1e3340a,30000000,clear,agree,30000000,Explicit final point estimate matches the parser estimate.
b_64110276fa9ed6606573,100000000,clear,agree,100000000,Explicit final point estimate matches the parser estimate.
b_642179cdcecec577dc90,30000000,clear,agree,30000000,Explicit final point estimate matches the parser estimate.
b_651a23c47e7d618dd37a,33000000,clear,agree,33000000,Explicit final point estimate matches the parser estimate.
b_653e71f70fd7f1c11e85,29000000,clear,agree,29000000,Explicit final point estimate matches the parser estimate.
b_654a6d9eee893dde5c03,40000000,clear,agree,40000000,Explicit final point estimate matches the parser estimate.
b_65628ee541f0419eee77,22000000,clear,agree,22000000,Explicit final point estimate matches the parser estimate.
b_663e7326a396c000947b,17500000,clear,agree,17500000,Explicit final point estimate matches the parser estimate.
b_664836750dcf201ee30d,23000000,clear,agree,23000000,Explicit final point estimate matches the parser estimate.
b_66619bdc1c93e32b2911,18000000,clear,agree,18000000,Explicit final point estimate matches the parser estimate.
b_670f9bcfdd94caa73a92,17500000,clear,agree,17500000,Explicit final point estimate matches the parser estimate.
b_675e3e787d286a909c25,117000000,clear,agree,117000000,Explicit final point estimate matches the parser estimate.
b_677ea50d0437e7331e2d,45000000,clear,agree,45000000,Explicit final point estimate matches the parser estimate.
b_697af41ba1befc3ea8c9,33000000,clear,agree,33000000,Explicit final point estimate matches the parser estimate.
b_6af0227229ca6ea5a520,29000000,clear,agree,29000000,Explicit final point estimate matches the parser estimate.
b_6b3db51bcc27584ccc4c,47000000,clear,agree,47000000,Explicit final point estimate matches the parser estimate.
b_6c2f72772f3459c16319,39000000,clear,agree,39000000,Explicit final point estimate matches the parser estimate.
b_6d853c73e71b13693db5,23400000,clear,agree,23400000,Explicit final point estimate matches the parser estimate.
b_6e47edf06aaa74044d62,50000000,clear,agree,50000000,Explicit final point estimate matches the parser estimate.
b_70e3ccdead56f6c7284b,29000000,clear,agree,29000000,Explicit final point estimate matches the parser estimate.
b_72683e8614855c8992ae,,ambiguous,disagree,41000000,"One explicit single-number estimate is 41,000,000; the parser marked the row ambiguous."
b_72d6e97227800c8b9c57,,ambiguous,disagree,29000000,"One explicit rounded point estimate is 29,000,000; the parser marked the row ambiguous."
b_730c7137099c0bc0aa45,29250000,clear,agree,29250000,Explicit final point estimate matches the parser estimate.
b_7392f7e7832cd47eac82,29000000,clear,agree,29000000,Explicit final point estimate matches the parser estimate.
b_73ed8ccf292819885b74,29600000,clear,agree,29600000,Explicit final point estimate matches the parser estimate.
b_73eea55876ad38f67c32,23400000,clear,agree,23400000,Explicit final point estimate matches the parser estimate.
b_745e03c06422eb6919c2,36000000,clear,agree,36000000,Explicit final point estimate matches the parser estimate.
b_747eef47824fc005f09a,23000000,clear,agree,23000000,Explicit final point estimate matches the parser estimate.
b_748688d35b865f07569e,28000000,clear,agree,28000000,Explicit final point estimate matches the parser estimate.
b_7528917fcbc5276af50f,42000000,clear,agree,42000000,Explicit final point estimate matches the parser estimate.
b_767a3101006fd8e0e008,39000000,clear,agree,39000000,Explicit final point estimate matches the parser estimate.
b_7732481467126305cbe9,31000000,clear,agree,31000000,Explicit final point estimate matches the parser estimate.
b_7838a8906bab4da76a73,24000000,clear,agree,24000000,Explicit final point estimate matches the parser estimate.
b_78f6938769094462eee5,,ambiguous,disagree,40500000,"One explicit precise point estimate is 40,500,000; the parser marked the row ambiguous."
b_7a5653603d1cb31072c1,29000000,clear,agree,29000000,Explicit final point estimate matches the parser estimate.
b_7aa7664a3b3a7e6eaa9a,54900000,clear,agree,54900000,Explicit final point estimate matches the parser estimate.
b_7b4e757477952fbc70ad,65000000,clear,agree,65000000,Explicit final point estimate matches the parser estimate.
b_7c258d58acd894f46c60,,ambiguous,disagree,50000000,"One explicit terminal calculation/result is 50,000,000; the parser marked the row ambiguous."
b_7caf65616ba2aedab6a3,23600000,clear,agree,23600000,Explicit final point estimate matches the parser estimate.
b_7d6d51a631e762096a22,35000000,clear,agree,35000000,Explicit final point estimate matches the parser estimate.
b_7d726bc83082d4710c13,46000000,clear,agree,46000000,Explicit final point estimate matches the parser estimate.
b_7dd59d15c10cd093d3b7,53000000,clear,agree,53000000,Explicit final point estimate matches the parser estimate.
b_7e1ac89f244521904a1d,110000000,clear,agree,110000000,Explicit final point estimate matches the parser estimate.
b_7eb9aaad204fe611ed14,24000000,clear,agree,24000000,Explicit final point estimate matches the parser estimate.
b_813c40cd369971afa9dc,,ambiguous,disagree,38000000,"One explicit rounded best point estimate is 38,000,000; the parser marked the row ambiguous."
b_818b189871c7e9a709cd,52000000,clear,agree,52000000,Explicit final point estimate matches the parser estimate.
b_8295831052e6834be90d,26000000,clear,agree,26000000,Explicit final point estimate matches the parser estimate.
b_8454d9b6d3b3d082817a,24000000,clear,agree,24000000,Explicit final point estimate matches the parser estimate.
b_84cdc8d05c2509abc5ae,58500000,clear,agree,58500000,Explicit final point estimate matches the parser estimate.
b_84d0f62f6ad65d008c0f,125000000,clear,agree,125000000,Explicit final point estimate matches the parser estimate.
b_850c54d83e66271dc2d5,33000000,clear,agree,33000000,Explicit final point estimate matches the parser estimate.
b_85382fb236da39550148,,ambiguous,disagree,30000000,"One explicit rounded final estimate is 30,000,000; the parser marked the row ambiguous."
b_86a4c022522198a11d68,23400000,clear,agree,23400000,Explicit final point estimate matches the parser estimate.
b_86dab31d024ab90f6dbf,35000000,clear,agree,35000000,Explicit final point estimate matches the parser estimate.
b_871feb4dff487860eb6e,23000000,clear,agree,23000000,Explicit final point estimate matches the parser estimate.
b_8779c5e8bac5120844ae,35000000,clear,agree,35000000,Explicit final point estimate matches the parser estimate.
b_88da7c01d82f44df58e9,18000000,clear,agree,18000000,Explicit final point estimate matches the parser estimate.
b_89e0780bfba9acb35d17,40000000,clear,agree,40000000,Explicit final point estimate matches the parser estimate.
b_8a142cebc2b258d5b82c,27000000,clear,agree,27000000,Explicit final point estimate matches the parser estimate.
b_8b50a1c64ca64221d8c8,38000000,clear,agree,38000000,Explicit final point estimate matches the parser estimate.
b_8b8dda66b0546f351736,55000000,clear,agree,55000000,Explicit final point estimate matches the parser estimate.
b_8bf9e5bac69b53f3d5b9,50000000,clear,agree,50000000,Explicit final point estimate matches the parser estimate.
b_8c9088052aedda5f04da,,ambiguous,disagree,24000000,"One explicit single-number estimate is 24,000,000; the parser marked the row ambiguous."
b_8cd7e03d92dd8b3e11c7,17500000,clear,agree,17500000,Explicit final point estimate matches the parser estimate.
