blinded_id,source_file,row_i,split,model,condition,anchor,provider
b_0ba382d87d55e25aad35,qwen3.5-122b-a10b/irrelevant_number_41000000.json,40,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow
b_afe2190b630de441e78e,qwen3.5-122b-a10b/irrelevant_number_41000000.json,41,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow
b_b610efbe1027a94bb7c9,qwen3.5-122b-a10b/irrelevant_number_41000000.json,42,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,Novita
b_6e47edf06aaa74044d62,qwen3.5-122b-a10b/irrelevant_number_41000000.json,43,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,Novita
b_34948160dd5d472ea536,qwen3.5-122b-a10b/irrelevant_number_41000000.json,44,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow
b_0c38bac07be5bab7571d,qwen3.5-122b-a10b/irrelevant_number_41000000.json,45,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra
b_15c82188f8215fcdf91e,qwen3.5-122b-a10b/irrelevant_number_41000000.json,46,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra
b_8d2715039e8648fcfa1a,qwen3.5-122b-a10b/irrelevant_number_41000000.json,47,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow
b_efe15ac33821abbef1b1,qwen3.5-122b-a10b/irrelevant_number_41000000.json,48,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow
b_0cc5263bc24ceed4fcf5,qwen3.5-122b-a10b/irrelevant_number_41000000.json,49,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra
b_12946a6a17b54f84678e,qwen3.5-122b-a10b/irrelevant_number_85000000.json,0,pilot,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,Novita
b_dec6178a153b785fdc97,qwen3.5-122b-a10b/irrelevant_number_85000000.json,1,pilot,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow
b_d94f64ab5de517440fe4,qwen3.5-122b-a10b/irrelevant_number_85000000.json,2,pilot,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow
b_88da7c01d82f44df58e9,qwen3.5-122b-a10b/irrelevant_number_85000000.json,3,pilot,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow
b_e4f0cdbb219e51325e83,qwen3.5-122b-a10b/irrelevant_number_85000000.json,4,pilot,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,Novita
b_002507807918fe3f4de7,qwen3.5-122b-a10b/irrelevant_number_85000000.json,5,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,DeepInfra
b_ab5a69ae8f5983575714,qwen3.5-122b-a10b/irrelevant_number_85000000.json,6,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,Novita
b_a23694c5f082a82b770b,qwen3.5-122b-a10b/irrelevant_number_85000000.json,7,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,Novita
b_a579ba942b1a9b03b7fe,qwen3.5-122b-a10b/irrelevant_number_85000000.json,8,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow
b_15bfd0d34d5fbbda68e2,qwen3.5-122b-a10b/irrelevant_number_85000000.json,9,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow
b_f8b72d5672b637856a9e,qwen3.5-122b-a10b/irrelevant_number_85000000.json,10,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow
b_0c580bd31c7309bb1a57,qwen3.5-122b-a10b/irrelevant_number_85000000.json,11,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,DeepInfra
b_373ae8e40f7d42b00695,qwen3.5-122b-a10b/irrelevant_number_85000000.json,12,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow
b_d55891d1a5632d56bbbe,qwen3.5-122b-a10b/irrelevant_number_85000000.json,13,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,Novita
b_a780b33a3e3d01f5f549,qwen3.5-122b-a10b/irrelevant_number_85000000.json,14,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,Novita
b_0c619d139992e14d011a,qwen3.5-122b-a10b/irrelevant_number_85000000.json,15,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,DeepInfra
b_b376e950a7c9dd894674,qwen3.5-122b-a10b/irrelevant_number_85000000.json,16,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,Novita
b_cc8666bda1248df29421,qwen3.5-122b-a10b/irrelevant_number_85000000.json,17,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,DeepInfra
b_aa40a973a78f121a1aca,qwen3.5-122b-a10b/irrelevant_number_85000000.json,18,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow
b_ae407d8e3b1108d0d484,qwen3.5-122b-a10b/irrelevant_number_85000000.json,19,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,DeepInfra
b_f072cdc5e42b81dbc76d,qwen3.5-122b-a10b/irrelevant_number_85000000.json,20,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow
b_4695d1dddc00387ace04,qwen3.5-122b-a10b/irrelevant_number_85000000.json,21,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,DeepInfra
b_b8048f5858ffaedb6b32,qwen3.5-122b-a10b/irrelevant_number_85000000.json,22,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,DeepInfra
b_101671f59d13f536fd2a,qwen3.5-122b-a10b/irrelevant_number_85000000.json,23,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow
b_517939a8da8bca42baf7,qwen3.5-122b-a10b/irrelevant_number_85000000.json,24,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,Novita
b_a3774a54b6b2fc069532,qwen3.5-122b-a10b/irrelevant_number_85000000.json,25,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow
b_a10371973e5d5e2957b5,qwen3.5-122b-a10b/irrelevant_number_85000000.json,26,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow
b_e2c35d9b789495c5c538,qwen3.5-122b-a10b/irrelevant_number_85000000.json,27,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow
b_42d0ea88c4830d5304b0,qwen3.5-122b-a10b/irrelevant_number_85000000.json,28,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,DeepInfra
b_850c54d83e66271dc2d5,qwen3.5-122b-a10b/irrelevant_number_85000000.json,29,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow
b_0e230d5e72405009d850,qwen3.5-122b-a10b/irrelevant_number_85000000.json,30,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow
b_fbad9ae269157204707f,qwen3.5-122b-a10b/irrelevant_number_85000000.json,31,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,DeepInfra
b_3cd7f749b566f73b5e5c,qwen3.5-122b-a10b/irrelevant_number_85000000.json,32,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow
b_3b699002bf7bb8d8555a,qwen3.5-122b-a10b/irrelevant_number_85000000.json,33,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow
b_e9858d29a14209fdcf2c,qwen3.5-122b-a10b/irrelevant_number_85000000.json,34,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow
b_8454d9b6d3b3d082817a,qwen3.5-122b-a10b/irrelevant_number_85000000.json,35,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow
b_64110276fa9ed6606573,qwen3.5-122b-a10b/irrelevant_number_85000000.json,36,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow
b_c80c7a1df5c69158d4a9,qwen3.5-122b-a10b/irrelevant_number_85000000.json,37,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,DeepInfra
b_02625e657a465b7dc2c8,qwen3.5-122b-a10b/irrelevant_number_85000000.json,38,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,DeepInfra
b_362f4eb39639c2f1d8d3,qwen3.5-122b-a10b/irrelevant_number_85000000.json,39,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,Novita
b_ececd2d9e1cc7d86214a,qwen3.5-122b-a10b/irrelevant_number_85000000.json,40,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow
b_db9d7c562518881d6544,qwen3.5-122b-a10b/irrelevant_number_85000000.json,41,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow
b_536f25b52c56b89864ea,qwen3.5-122b-a10b/irrelevant_number_85000000.json,42,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,Novita
b_43bdc0aea4a908380bbd,qwen3.5-122b-a10b/irrelevant_number_85000000.json,43,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,DeepInfra
b_63582002d145b1e3340a,qwen3.5-122b-a10b/irrelevant_number_85000000.json,44,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,DeepInfra
b_7e1ac89f244521904a1d,qwen3.5-122b-a10b/irrelevant_number_85000000.json,45,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow
b_8d137fc9f12cc70b3beb,qwen3.5-122b-a10b/irrelevant_number_85000000.json,46,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,DeepInfra
b_818b189871c7e9a709cd,qwen3.5-122b-a10b/irrelevant_number_85000000.json,47,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,DeepInfra
b_536c65738d016a6453ae,qwen3.5-122b-a10b/irrelevant_number_85000000.json,48,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,DeepInfra
b_f3040546434a713d3a30,qwen3.5-122b-a10b/irrelevant_number_85000000.json,49,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,DeepInfra
b_deeff0c344161dcaf803,qwen3.5-122b-a10b/neutral_boundary_41000000.json,0,pilot,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,DeepInfra
b_7732481467126305cbe9,qwen3.5-122b-a10b/neutral_boundary_41000000.json,1,pilot,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,DeepInfra
b_d2fdab3bd65e78f2c3d4,qwen3.5-122b-a10b/neutral_boundary_41000000.json,2,pilot,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,Novita
b_c8aaba5cd3bada757595,qwen3.5-122b-a10b/neutral_boundary_41000000.json,3,pilot,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,DeepInfra
b_a464ce6d89fcbfdc099f,qwen3.5-122b-a10b/neutral_boundary_41000000.json,4,pilot,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,SiliconFlow
b_e3de5eedc4bba5a8bd19,qwen3.5-122b-a10b/neutral_boundary_41000000.json,5,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,SiliconFlow
b_84cdc8d05c2509abc5ae,qwen3.5-122b-a10b/neutral_boundary_41000000.json,6,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,DeepInfra
b_39f36de5f92249315ad5,qwen3.5-122b-a10b/neutral_boundary_41000000.json,7,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,DeepInfra
b_dacaab055dd9727ea6fd,qwen3.5-122b-a10b/neutral_boundary_41000000.json,8,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,DeepInfra
b_22c21d921dc5c3f9bb0e,qwen3.5-122b-a10b/neutral_boundary_41000000.json,9,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,DeepInfra
b_0d5dc9fd0388822f4f4b,qwen3.5-122b-a10b/neutral_boundary_41000000.json,10,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,SiliconFlow
b_ea673362abc2934e3ba8,qwen3.5-122b-a10b/neutral_boundary_41000000.json,11,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,Novita
b_37d144b66b3d41fc95a1,qwen3.5-122b-a10b/neutral_boundary_41000000.json,12,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,SiliconFlow
b_d430cab4f9e9eaac3059,qwen3.5-122b-a10b/neutral_boundary_41000000.json,13,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,DeepInfra
b_a88c392778fb0795343d,qwen3.5-122b-a10b/neutral_boundary_41000000.json,14,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,Novita
b_7d726bc83082d4710c13,qwen3.5-122b-a10b/neutral_boundary_41000000.json,15,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,DeepInfra
b_9c28dbb87cc196d192b7,qwen3.5-122b-a10b/neutral_boundary_41000000.json,16,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,SiliconFlow
b_b73f76ea9f81c9848687,qwen3.5-122b-a10b/neutral_boundary_41000000.json,17,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,SiliconFlow
b_10da4be96469616b67bf,qwen3.5-122b-a10b/neutral_boundary_41000000.json,18,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,Novita
b_2a61fb0544e4bf170804,qwen3.5-122b-a10b/neutral_boundary_41000000.json,19,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,Novita
b_38eefd6c26605506fe3f,qwen3.5-122b-a10b/neutral_boundary_41000000.json,20,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,DeepInfra
b_2a7c1c41eb514781e4fc,qwen3.5-122b-a10b/neutral_boundary_41000000.json,21,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,Novita
b_a35caca31343a1135dd9,qwen3.5-122b-a10b/neutral_boundary_41000000.json,22,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,SiliconFlow
b_2715925c004cc0632c59,qwen3.5-122b-a10b/neutral_boundary_41000000.json,23,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,SiliconFlow
b_1aef76b38ac324aee9c4,qwen3.5-122b-a10b/neutral_boundary_41000000.json,24,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,SiliconFlow
b_cc9372d37e9ba908f998,qwen3.5-122b-a10b/neutral_boundary_41000000.json,25,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,Novita
b_5b843f2cc6b551011b05,qwen3.5-122b-a10b/neutral_boundary_41000000.json,26,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,SiliconFlow
b_f302d3500296117d9409,qwen3.5-122b-a10b/neutral_boundary_41000000.json,27,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,SiliconFlow
b_6b3db51bcc27584ccc4c,qwen3.5-122b-a10b/neutral_boundary_41000000.json,28,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,DeepInfra
b_2f6b4098149c83ddf460,qwen3.5-122b-a10b/neutral_boundary_41000000.json,29,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,Novita
b_78f6938769094462eee5,qwen3.5-122b-a10b/neutral_boundary_41000000.json,30,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,Novita
b_2cacd38d26ce776688d9,qwen3.5-122b-a10b/neutral_boundary_41000000.json,31,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,Novita
b_93a146447853a84813d8,qwen3.5-122b-a10b/neutral_boundary_41000000.json,32,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,SiliconFlow
b_199ef86f1823bc782483,qwen3.5-122b-a10b/neutral_boundary_41000000.json,33,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,SiliconFlow
b_d3d6f87c4478ed23de44,qwen3.5-122b-a10b/neutral_boundary_41000000.json,34,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,SiliconFlow
b_7c258d58acd894f46c60,qwen3.5-122b-a10b/neutral_boundary_41000000.json,35,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,Novita
b_a243e4f3a996e0e87272,qwen3.5-122b-a10b/neutral_boundary_41000000.json,36,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,SiliconFlow
b_0d3c195263f06623805f,qwen3.5-122b-a10b/neutral_boundary_41000000.json,37,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,DeepInfra
b_cd3d9f0c17c860bb95a9,qwen3.5-122b-a10b/neutral_boundary_41000000.json,38,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,DeepInfra
b_767a3101006fd8e0e008,qwen3.5-122b-a10b/neutral_boundary_41000000.json,39,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,SiliconFlow
b_b701005c4f2656a37ae2,qwen3.5-122b-a10b/neutral_boundary_41000000.json,40,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,DeepInfra
b_8b8dda66b0546f351736,qwen3.5-122b-a10b/neutral_boundary_41000000.json,41,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,DeepInfra
b_677ea50d0437e7331e2d,qwen3.5-122b-a10b/neutral_boundary_41000000.json,42,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,SiliconFlow
b_2b6304e0e8579515072d,qwen3.5-122b-a10b/neutral_boundary_41000000.json,43,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,DeepInfra
b_89e0780bfba9acb35d17,qwen3.5-122b-a10b/neutral_boundary_41000000.json,44,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,SiliconFlow
b_730c7137099c0bc0aa45,qwen3.5-122b-a10b/neutral_boundary_41000000.json,45,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,SiliconFlow
b_92bae2f8aaea1c1eeaf9,qwen3.5-122b-a10b/neutral_boundary_41000000.json,46,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,Novita
b_9623a632777d32166fbc,qwen3.5-122b-a10b/neutral_boundary_41000000.json,47,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,SiliconFlow
b_23e1bc894c3a8ed0288a,qwen3.5-122b-a10b/neutral_boundary_41000000.json,48,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,DeepInfra
b_6c2f72772f3459c16319,qwen3.5-122b-a10b/neutral_boundary_41000000.json,49,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,DeepInfra
b_e4f85d063285928eb94c,qwen3.5-122b-a10b/neutral_boundary_85000000.json,0,pilot,qwen/qwen3.5-122b-a10b,neutral_boundary,85000000,DeepInfra
b_aa90a8efdab297818917,qwen3.5-122b-a10b/neutral_boundary_85000000.json,1,pilot,qwen/qwen3.5-122b-a10b,neutral_boundary,85000000,SiliconFlow
b_a36828d9285444dd58e2,qwen3.5-122b-a10b/neutral_boundary_85000000.json,2,pilot,qwen/qwen3.5-122b-a10b,neutral_boundary,85000000,Novita
b_0937e0245565dfb78ac6,qwen3.5-122b-a10b/neutral_boundary_85000000.json,3,pilot,qwen/qwen3.5-122b-a10b,neutral_boundary,85000000,SiliconFlow
b_e05cccd47a6f2f51621f,qwen3.5-122b-a10b/neutral_boundary_85000000.json,4,pilot,qwen/qwen3.5-122b-a10b,neutral_boundary,85000000,DeepInfra
b_fc15e356ad225555c70b,qwen3.5-122b-a10b/neutral_boundary_85000000.json,5,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,85000000,Novita
b_901bd4465727a033fffd,qwen3.5-122b-a10b/neutral_boundary_85000000.json,6,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,85000000,DeepInfra
b_ee7949d83905997d62e2,qwen3.5-122b-a10b/neutral_boundary_85000000.json,7,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,85000000,DeepInfra
b_7b4e757477952fbc70ad,qwen3.5-122b-a10b/neutral_boundary_85000000.json,8,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,85000000,SiliconFlow
b_440141c6ddfc0ff5a2d3,qwen3.5-122b-a10b/neutral_boundary_85000000.json,9,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,85000000,SiliconFlow
