blinded_id,source_file,row_i,split,model,condition,anchor,provider,parser_estimate,parser_status,final_estimate,final_status,measurement_source
b_ac9a6aa1628c83d4d4b1,qwen3.5-122b-a10b/irrelevant_number_41000000.json,30,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra,22000000,clear,22000000,clear,parser_confirmed
b_4b6cd3b33adcb2586f67,qwen3.5-122b-a10b/irrelevant_number_41000000.json,31,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,Novita,35500000,clear,35500000,clear,parser_confirmed
b_8779c5e8bac5120844ae,qwen3.5-122b-a10b/irrelevant_number_41000000.json,32,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra,35000000,clear,35000000,clear,parser_confirmed
b_7528917fcbc5276af50f,qwen3.5-122b-a10b/irrelevant_number_41000000.json,33,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra,42000000,clear,42000000,clear,parser_confirmed
b_9277a53e72d4cc6a3b9b,qwen3.5-122b-a10b/irrelevant_number_41000000.json,34,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow,42000000,clear,42000000,clear,parser_confirmed
b_d2f3549d046b9e92eb19,qwen3.5-122b-a10b/irrelevant_number_41000000.json,35,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra,39000000,clear,39000000,clear,parser_confirmed
b_01a5f5ff4762c645faf1,qwen3.5-122b-a10b/irrelevant_number_41000000.json,36,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow,38000000,clear,38000000,clear,parser_confirmed
b_fd6949c39aa988ef3fe6,qwen3.5-122b-a10b/irrelevant_number_41000000.json,37,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra,22000000,clear,22000000,clear,parser_confirmed
b_8ded29e29f7818c2fa5d,qwen3.5-122b-a10b/irrelevant_number_41000000.json,38,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra,,ambiguous,44000000,clear,blind_adjudication
b_8b50a1c64ca64221d8c8,qwen3.5-122b-a10b/irrelevant_number_41000000.json,39,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow,38000000,clear,38000000,clear,parser_confirmed
b_0ba382d87d55e25aad35,qwen3.5-122b-a10b/irrelevant_number_41000000.json,40,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow,39000000,clear,39000000,clear,parser_confirmed
b_afe2190b630de441e78e,qwen3.5-122b-a10b/irrelevant_number_41000000.json,41,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow,43000000,clear,43000000,clear,parser_confirmed
b_b610efbe1027a94bb7c9,qwen3.5-122b-a10b/irrelevant_number_41000000.json,42,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,Novita,39000000,clear,39000000,clear,parser_confirmed
b_6e47edf06aaa74044d62,qwen3.5-122b-a10b/irrelevant_number_41000000.json,43,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,Novita,50000000,clear,50000000,clear,parser_confirmed
b_34948160dd5d472ea536,qwen3.5-122b-a10b/irrelevant_number_41000000.json,44,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow,42350000,clear,42350000,clear,parser_confirmed
b_0c38bac07be5bab7571d,qwen3.5-122b-a10b/irrelevant_number_41000000.json,45,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra,23000000,clear,23000000,clear,parser_confirmed
b_15c82188f8215fcdf91e,qwen3.5-122b-a10b/irrelevant_number_41000000.json,46,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra,25000000,clear,25000000,clear,parser_confirmed
b_8d2715039e8648fcfa1a,qwen3.5-122b-a10b/irrelevant_number_41000000.json,47,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow,27500000,clear,27500000,clear,parser_confirmed
b_efe15ac33821abbef1b1,qwen3.5-122b-a10b/irrelevant_number_41000000.json,48,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow,72000000,clear,72000000,clear,parser_confirmed
b_0cc5263bc24ceed4fcf5,qwen3.5-122b-a10b/irrelevant_number_41000000.json,49,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra,58500000,clear,58500000,clear,parser_confirmed
b_12946a6a17b54f84678e,qwen3.5-122b-a10b/irrelevant_number_85000000.json,0,pilot,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,Novita,34000000,clear,34000000,clear,parser_confirmed
b_dec6178a153b785fdc97,qwen3.5-122b-a10b/irrelevant_number_85000000.json,1,pilot,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow,86000000,clear,86000000,clear,parser_confirmed
b_d94f64ab5de517440fe4,qwen3.5-122b-a10b/irrelevant_number_85000000.json,2,pilot,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow,42000000,clear,42000000,clear,parser_confirmed
b_88da7c01d82f44df58e9,qwen3.5-122b-a10b/irrelevant_number_85000000.json,3,pilot,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow,18000000,clear,18000000,clear,parser_confirmed
b_e4f0cdbb219e51325e83,qwen3.5-122b-a10b/irrelevant_number_85000000.json,4,pilot,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,Novita,30000000,clear,30000000,clear,parser_confirmed
b_002507807918fe3f4de7,qwen3.5-122b-a10b/irrelevant_number_85000000.json,5,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,DeepInfra,40250000,clear,40250000,clear,parser_confirmed
b_ab5a69ae8f5983575714,qwen3.5-122b-a10b/irrelevant_number_85000000.json,6,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,Novita,45000000,clear,45000000,clear,parser_confirmed
b_a23694c5f082a82b770b,qwen3.5-122b-a10b/irrelevant_number_85000000.json,7,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,Novita,70000000,clear,70000000,clear,parser_confirmed
b_a579ba942b1a9b03b7fe,qwen3.5-122b-a10b/irrelevant_number_85000000.json,8,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow,61000000,clear,61000000,clear,parser_confirmed
b_15bfd0d34d5fbbda68e2,qwen3.5-122b-a10b/irrelevant_number_85000000.json,9,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow,17550000,clear,17550000,clear,parser_confirmed
b_f8b72d5672b637856a9e,qwen3.5-122b-a10b/irrelevant_number_85000000.json,10,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow,60000000,clear,60000000,clear,parser_confirmed
b_0c580bd31c7309bb1a57,qwen3.5-122b-a10b/irrelevant_number_85000000.json,11,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,DeepInfra,39000000,clear,39000000,clear,parser_confirmed
b_373ae8e40f7d42b00695,qwen3.5-122b-a10b/irrelevant_number_85000000.json,12,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow,175000000,clear,175000000,clear,parser_confirmed
b_d55891d1a5632d56bbbe,qwen3.5-122b-a10b/irrelevant_number_85000000.json,13,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,Novita,30000000,clear,30000000,clear,parser_confirmed
b_a780b33a3e3d01f5f549,qwen3.5-122b-a10b/irrelevant_number_85000000.json,14,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,Novita,48000000,clear,48000000,clear,parser_confirmed
b_0c619d139992e14d011a,qwen3.5-122b-a10b/irrelevant_number_85000000.json,15,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,DeepInfra,1665000000,clear,1665000000,clear,parser_confirmed
b_b376e950a7c9dd894674,qwen3.5-122b-a10b/irrelevant_number_85000000.json,16,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,Novita,76000000,clear,76000000,clear,parser_confirmed
b_cc8666bda1248df29421,qwen3.5-122b-a10b/irrelevant_number_85000000.json,17,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,DeepInfra,50000000,clear,50000000,clear,parser_confirmed
b_aa40a973a78f121a1aca,qwen3.5-122b-a10b/irrelevant_number_85000000.json,18,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow,64000000,clear,64000000,clear,parser_confirmed
b_ae407d8e3b1108d0d484,qwen3.5-122b-a10b/irrelevant_number_85000000.json,19,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,DeepInfra,40000000,clear,40000000,clear,parser_confirmed
b_f072cdc5e42b81dbc76d,qwen3.5-122b-a10b/irrelevant_number_85000000.json,20,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow,40000000,clear,40000000,clear,parser_confirmed
b_4695d1dddc00387ace04,qwen3.5-122b-a10b/irrelevant_number_85000000.json,21,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,DeepInfra,55000000,clear,55000000,clear,parser_confirmed
b_b8048f5858ffaedb6b32,qwen3.5-122b-a10b/irrelevant_number_85000000.json,22,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,DeepInfra,41000000,clear,41000000,clear,parser_confirmed
b_101671f59d13f536fd2a,qwen3.5-122b-a10b/irrelevant_number_85000000.json,23,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow,93600000,clear,93600000,clear,parser_confirmed
b_517939a8da8bca42baf7,qwen3.5-122b-a10b/irrelevant_number_85000000.json,24,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,Novita,44000000,clear,44000000,clear,parser_confirmed
b_a3774a54b6b2fc069532,qwen3.5-122b-a10b/irrelevant_number_85000000.json,25,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow,53000000,clear,53000000,clear,parser_confirmed
b_a10371973e5d5e2957b5,qwen3.5-122b-a10b/irrelevant_number_85000000.json,26,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow,20000000,clear,20000000,clear,parser_confirmed
b_e2c35d9b789495c5c538,qwen3.5-122b-a10b/irrelevant_number_85000000.json,27,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow,24000000,clear,24000000,clear,parser_confirmed
b_42d0ea88c4830d5304b0,qwen3.5-122b-a10b/irrelevant_number_85000000.json,28,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,DeepInfra,45000000,clear,45000000,clear,parser_confirmed
b_850c54d83e66271dc2d5,qwen3.5-122b-a10b/irrelevant_number_85000000.json,29,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow,33000000,clear,33000000,clear,parser_confirmed
b_0e230d5e72405009d850,qwen3.5-122b-a10b/irrelevant_number_85000000.json,30,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow,58000000,clear,58000000,clear,parser_confirmed
b_fbad9ae269157204707f,qwen3.5-122b-a10b/irrelevant_number_85000000.json,31,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,DeepInfra,82000000,clear,82000000,clear,parser_confirmed
b_3cd7f749b566f73b5e5c,qwen3.5-122b-a10b/irrelevant_number_85000000.json,32,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow,350000000,clear,350000000,clear,parser_confirmed
b_3b699002bf7bb8d8555a,qwen3.5-122b-a10b/irrelevant_number_85000000.json,33,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow,88000000,clear,88000000,clear,parser_confirmed
b_e9858d29a14209fdcf2c,qwen3.5-122b-a10b/irrelevant_number_85000000.json,34,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow,97000000,clear,97000000,clear,parser_confirmed
b_8454d9b6d3b3d082817a,qwen3.5-122b-a10b/irrelevant_number_85000000.json,35,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow,24000000,clear,24000000,clear,parser_confirmed
b_64110276fa9ed6606573,qwen3.5-122b-a10b/irrelevant_number_85000000.json,36,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow,100000000,clear,100000000,clear,parser_confirmed
b_c80c7a1df5c69158d4a9,qwen3.5-122b-a10b/irrelevant_number_85000000.json,37,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,DeepInfra,145000000,clear,145000000,clear,parser_confirmed
b_02625e657a465b7dc2c8,qwen3.5-122b-a10b/irrelevant_number_85000000.json,38,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,DeepInfra,40000000,clear,40000000,clear,parser_confirmed
b_362f4eb39639c2f1d8d3,qwen3.5-122b-a10b/irrelevant_number_85000000.json,39,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,Novita,90000000,clear,90000000,clear,parser_confirmed
b_ececd2d9e1cc7d86214a,qwen3.5-122b-a10b/irrelevant_number_85000000.json,40,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow,84000000,clear,84000000,clear,parser_confirmed
b_db9d7c562518881d6544,qwen3.5-122b-a10b/irrelevant_number_85000000.json,41,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow,42000000,clear,42000000,clear,parser_confirmed
b_536f25b52c56b89864ea,qwen3.5-122b-a10b/irrelevant_number_85000000.json,42,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,Novita,45000000,clear,45000000,clear,parser_confirmed
b_43bdc0aea4a908380bbd,qwen3.5-122b-a10b/irrelevant_number_85000000.json,43,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,DeepInfra,66000000,clear,66000000,clear,parser_confirmed
b_63582002d145b1e3340a,qwen3.5-122b-a10b/irrelevant_number_85000000.json,44,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,DeepInfra,30000000,clear,30000000,clear,parser_confirmed
b_7e1ac89f244521904a1d,qwen3.5-122b-a10b/irrelevant_number_85000000.json,45,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,SiliconFlow,110000000,clear,110000000,clear,parser_confirmed
b_8d137fc9f12cc70b3beb,qwen3.5-122b-a10b/irrelevant_number_85000000.json,46,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,DeepInfra,29000000,clear,29000000,clear,parser_confirmed
b_818b189871c7e9a709cd,qwen3.5-122b-a10b/irrelevant_number_85000000.json,47,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,DeepInfra,52000000,clear,52000000,clear,parser_confirmed
b_536c65738d016a6453ae,qwen3.5-122b-a10b/irrelevant_number_85000000.json,48,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,DeepInfra,45000000,clear,45000000,clear,parser_confirmed
b_f3040546434a713d3a30,qwen3.5-122b-a10b/irrelevant_number_85000000.json,49,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,85000000,DeepInfra,60000000,clear,60000000,clear,parser_confirmed
b_deeff0c344161dcaf803,qwen3.5-122b-a10b/neutral_boundary_41000000.json,0,pilot,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,DeepInfra,34000000,clear,34000000,clear,parser_confirmed
b_7732481467126305cbe9,qwen3.5-122b-a10b/neutral_boundary_41000000.json,1,pilot,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,DeepInfra,31000000,clear,31000000,clear,parser_confirmed
b_d2fdab3bd65e78f2c3d4,qwen3.5-122b-a10b/neutral_boundary_41000000.json,2,pilot,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,Novita,,ambiguous,38000000,clear,blind_adjudication
b_c8aaba5cd3bada757595,qwen3.5-122b-a10b/neutral_boundary_41000000.json,3,pilot,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,DeepInfra,38025000,clear,38025000,clear,parser_confirmed
b_a464ce6d89fcbfdc099f,qwen3.5-122b-a10b/neutral_boundary_41000000.json,4,pilot,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,SiliconFlow,38000000,clear,38000000,clear,parser_confirmed
b_e3de5eedc4bba5a8bd19,qwen3.5-122b-a10b/neutral_boundary_41000000.json,5,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,SiliconFlow,50000000,clear,50000000,clear,parser_confirmed
b_84cdc8d05c2509abc5ae,qwen3.5-122b-a10b/neutral_boundary_41000000.json,6,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,DeepInfra,58500000,clear,58500000,clear,parser_confirmed
b_39f36de5f92249315ad5,qwen3.5-122b-a10b/neutral_boundary_41000000.json,7,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,DeepInfra,35000000,clear,35000000,clear,parser_confirmed
b_dacaab055dd9727ea6fd,qwen3.5-122b-a10b/neutral_boundary_41000000.json,8,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,DeepInfra,33600000,clear,33600000,clear,parser_confirmed
b_22c21d921dc5c3f9bb0e,qwen3.5-122b-a10b/neutral_boundary_41000000.json,9,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,DeepInfra,23000000,clear,23000000,clear,parser_confirmed
b_0d5dc9fd0388822f4f4b,qwen3.5-122b-a10b/neutral_boundary_41000000.json,10,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,SiliconFlow,43000000,clear,43000000,clear,parser_confirmed
b_ea673362abc2934e3ba8,qwen3.5-122b-a10b/neutral_boundary_41000000.json,11,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,Novita,38000000,clear,38000000,clear,parser_confirmed
b_37d144b66b3d41fc95a1,qwen3.5-122b-a10b/neutral_boundary_41000000.json,12,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,SiliconFlow,39600000,clear,39600000,clear,parser_confirmed
b_d430cab4f9e9eaac3059,qwen3.5-122b-a10b/neutral_boundary_41000000.json,13,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,DeepInfra,31000000,clear,31000000,clear,parser_confirmed
b_a88c392778fb0795343d,qwen3.5-122b-a10b/neutral_boundary_41000000.json,14,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,Novita,,ambiguous,70000000,clear,blind_adjudication
b_7d726bc83082d4710c13,qwen3.5-122b-a10b/neutral_boundary_41000000.json,15,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,DeepInfra,46000000,clear,46000000,clear,parser_confirmed
b_9c28dbb87cc196d192b7,qwen3.5-122b-a10b/neutral_boundary_41000000.json,16,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,SiliconFlow,40000000,clear,40000000,clear,parser_confirmed
b_b73f76ea9f81c9848687,qwen3.5-122b-a10b/neutral_boundary_41000000.json,17,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,SiliconFlow,21200000,clear,21200000,clear,parser_confirmed
b_10da4be96469616b67bf,qwen3.5-122b-a10b/neutral_boundary_41000000.json,18,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,Novita,66000000,clear,66000000,clear,parser_confirmed
b_2a61fb0544e4bf170804,qwen3.5-122b-a10b/neutral_boundary_41000000.json,19,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,Novita,266000000,clear,266000000,clear,parser_confirmed
b_38eefd6c26605506fe3f,qwen3.5-122b-a10b/neutral_boundary_41000000.json,20,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,DeepInfra,60000000,clear,60000000,clear,parser_confirmed
b_2a7c1c41eb514781e4fc,qwen3.5-122b-a10b/neutral_boundary_41000000.json,21,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,Novita,33300000,clear,33300000,clear,parser_confirmed
b_a35caca31343a1135dd9,qwen3.5-122b-a10b/neutral_boundary_41000000.json,22,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,SiliconFlow,35000000,clear,35000000,clear,parser_confirmed
b_2715925c004cc0632c59,qwen3.5-122b-a10b/neutral_boundary_41000000.json,23,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,SiliconFlow,25000000,clear,25000000,clear,parser_confirmed
b_1aef76b38ac324aee9c4,qwen3.5-122b-a10b/neutral_boundary_41000000.json,24,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,SiliconFlow,,ambiguous,39000000,clear,blind_adjudication
b_cc9372d37e9ba908f998,qwen3.5-122b-a10b/neutral_boundary_41000000.json,25,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,Novita,37500000,clear,37500000,clear,parser_confirmed
b_5b843f2cc6b551011b05,qwen3.5-122b-a10b/neutral_boundary_41000000.json,26,holdout,qwen/qwen3.5-122b-a10b,neutral_boundary,41000000,SiliconFlow,45000000,clear,45000000,clear,parser_confirmed
